USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACY1;ACCURACY0;ACCURACY-1;PRECISION1;PRECISION0;PRECISION-1;RECALL1;RECALL0,RECALL-1;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME
15;1;5;3;45;1;0.95522386;0.8955224;0.9402985;1.0;0.0;1.0;0.90909094;0;0.88235295;0.9303482373555502;0.6666666666666666;0.5971479614575704;3.863
3;1;5;3;45;1;0.86734694;0.81632656;0.7653061;0.82;0.10526316;0.9655172;0.9111111;0.6666667;0.56;0.8163265387217203;0.630260149637858;0.712592601776123;3.381
32;1;5;3;45;1;0.75757575;0.72727275;0.8080808;0.8095238;0.32258064;0.7692308;0.68;0.625;0.6060606;0.7643097241719564;0.6337784131368002;0.6370202302932739;34.044
7;1;5;3;45;1;0.7777778;0.7777778;0.7979798;0.8484849;0.10526316;0.78723407;0.62222224;0.2857143;0.78723407;0.7845118045806885;0.5803273518880209;0.5650568803151449;48.762
36;1;5;3;45;1;0.78571427;0.71428573;0.78571427;0.6666667;0.23076923;0.75;0.8333333;0.14285715;0.73170733;0.7619047164916992;0.5491453011830648;0.5692992607752482;23.884
4;1;5;3;45;1;0.8888889;0.84444445;0.8888889;0.95;0.125;0.9705882;0.82608694;1.0;0.78571427;0.8740740617116293;0.6818627516428629;0.8706003824869791;55.972
20;1;5;3;45;1;0.8095238;0.8095238;0.8095238;0.81578946;0.05882353;0.9655172;0.775;1.0;0.6511628;0.8095238208770752;0.6133767366409302;0.8087209065755209;194.17
29;1;5;3;45;1;0.94949496;0.8484849;0.85858583;0.95348835;0.23529412;0.94871795;0.9318182;0.6666667;0.75510204;0.8855218887329102;0.7125000953674316;0.7845289707183838;5.73
14;1;5;3;45;1;0.814433;0.77319586;0.814433;0.76;0.04761905;0.9411765;0.61290324;0.33333334;0.7619048;0.800687313079834;0.5829318364461263;0.5693804423014323;4.787
11;1;5;3;45;1;0.8787879;0.8888889;0.86868685;0.8596491;0.1;0.96875;0.9245283;0.33333334;0.7209302;0.8787879149119059;0.6427996953328451;0.6595972776412964;4.148
