USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACY1;ACCURACY0;ACCURACY-1;PRECISION1;PRECISION0;PRECISION-1;RECALL1;RECALL0,RECALL-1;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME
15;1;5;3;105;1;0.95714283;0.9;0.94285715;1.0;0.0;1.0;0.9117647;0;0.8888889;0.9333333174387614;0.6666666666666666;0.600217858950297;3.446
3;1;5;3;105;1;0.86;0.83;0.77;0.79591835;0.13333334;0.8888889;0.90697676;0.33333334;0.627451;0.8200000127156576;0.6060468355814616;0.6225870450337728;4.314
32;1;5;3;105;1;0.7346939;0.7346939;0.81632656;0.67391306;0.23809524;0.87096775;0.7380952;0.33333334;0.6585366;0.761904795964559;0.5943253437678019;0.5766550699869791;10.512
7;1;5;3;105;1;0.7777778;0.7979798;0.85858583;0.8648649;0.3043478;0.82051283;0.6530612;0.6363636;0.82051283;0.8114477793375651;0.6632418632507324;0.7033125559488932;2499.09
36;1;5;3;105;1;0.88;0.81;0.87;0.83870965;0.5;0.85714287;0.7878788;0.5263158;0.875;0.853333314259847;0.731950839360555;0.729731559753418;273.892
4;1;5;3;105;1;0.9;0.85555553;0.8666667;0.8974359;0.09090909;0.925;0.875;0.25;0.8043478;0.8740740617116293;0.6377816994984945;0.6431159178415934;71.982
20;1;5;3;105;1;0.88505745;0.85057473;0.85057473;0.969697;0.13333334;0.8974359;0.7804878;1.0;0.79545456;0.8620689709981283;0.6668221155802408;0.8586474259694418;4.331
29;1;5;3;105;1;0.9285714;0.85714287;0.8877551;0.8979592;0.2857143;0.9714286;0.95652175;0.5;0.77272725;0.8911564350128174;0.718367338180542;0.7430830001831055;65.016
14;1;5;3;105;1;0.75757575;0.7171717;0.8181818;0.9375;0.035714287;0.84615386;0.5769231;0.5;0.73333335;0.7643097241719564;0.6064560413360596;0.6034188270568848;243.708
11;1;5;3;105;1;0.9;0.81;0.83;0.9347826;0.17391305;0.9677419;0.86;1.0;0.65217394;0.8466666539510092;0.692145824432373;0.8373912970225016;4.13
