USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;NUMBER_WC;treshold;F1;F2;F3;F4;F5
19;1;4;3;45;105;0.6761905352274576;0.31699347496032715;0.3298611243565877;23.038;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(farinacei,V1).[-1@4, V1]:~ value(carne,V1).[-1@2, V1]:~ value(verdure_e_ortaggi,V1).[-1@3, V1];4.0;0.0;0.01;0.01636;0.03273;0.94091;0
20;1;4;3;45;105;0.6888888676961263;0.3533233404159546;0.3888888756434123;24.687;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(forno,V1).[-1@2, V1]:~ value(pesce,V1).[V1@3, V1]:~ category(1).[1@4];4.0;0.0;0.01;0.16661;0.41169;0.41169;0
21;1;4;3;45;105;0.714285691579183;0.5312588612238566;0.42525116602579754;33.947;:~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1]:~ value(farinacei,V1).[-V1@2, V1]:~ category(1).[-1@4];3.0;0.0;0.0;0.32308;0.33846;0.33846;0
22;1;4;3;45;105;0.7650793393452963;0.44493452707926434;0.4577871958414714;28.61;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(pesce,V1).[1@4, V1]:~ value(forno,V1).[1@3, V1]:~ category(3).[1@2];4.0;0.0;0.01;0.01636;0.47045;0.50318;0
23;1;4;3;45;105;0.7333333492279053;0.7303703625996908;0.48503462473551434;23.019;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(farinacei,V1).[-1@3, V1]:~ value(forno,V1).[1@1, V1]:~ value(verdure_e_ortaggi,V1).[-V1@4, V1];4.0;0.0;0.01;0.11;0.23333;0.64667;0
24;1;4;3;45;105;0.7333333492279053;0.5367149511973063;0.5012332598368326;35.051;:~ value(erbe_spezie_e_condimenti,V1).[1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(carne,V1).[-1@3, V1]:~ category(3).[-1@2];4.0;0.0;0.01;0.01636;0.47045;0.50318;0
25;1;4;3;45;105;0.5809523661931356;0.25584906339645386;0.2479166587193807;29.921;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(farinacei,V1).[V1@1, V1]:~ value(pesce,V1).[1@3, V1]:~ value(carne,V1).[V1@4, V1];4.0;0.0;0.07787;0.24472;0.24472;0.4327;0
26;1;4;3;45;105;0.5301587184270223;0.19871795177459717;0.20000000794728598;39.48;:~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1]:~ value(farinacei,V1).[1@4, V1]:~ value(forno,V1).[-V1@1, V1];3.0;0.0;0.01;0.0;0.495;0.495;0
27;1;4;3;45;105;0.676190455754598;0.35151513417561847;0.3887147108713786;24.483;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ category(3).[1@3]:~ category(1).[1@4];3.0;0.0;0.0;0.01571;0.02;0.96429;0
28;1;4;3;45;105;0.5682539542516073;0.23190788427988687;0.2450035015741984;33.896;:~ value(erbe_spezie_e_condimenti,V1).[V1@3, V1]:~ value(forno,V1).[V1@2, V1]:~ value(verdure_e_ortaggi,V1).[1@4, V1]:~ category(3).[1@1];4.0;0.0;0.01;0.025;0.165;0.8;0
29;1;4;3;45;105;0.6571428775787354;0.3343589703241984;0.4287548065185547;19.761;:~ value(erbe_spezie_e_condimenti,V1).[V1@3, V1]:~ value(uova,V1).[-V1@1, V1]:~ value(verdure_e_ortaggi,V1).[-V1@4, V1];3.0;0.0;0.01;0.0;0.0825;0.9075;0
30;1;4;3;45;105;0.6253968079884847;0.29151515165964764;0.2943209807078044;36.785;:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(farinacei,V1).[V1@1, V1]:~ value(forno,V1).[-V1@3, V1]:~ category(1).[1@4];4.0;0.0;0.01;0.03143;0.47929;0.47929;0
31;1;4;3;45;105;0.5809523661931356;0.2964181105295817;0.24741601943969727;29.824;:~ value(pesce,V1).[-V1@2, V1]:~ value(verdure_e_ortaggi,V1).[-1@1, V1]:~ value(carne,V1).[1@4, V1]:~ category(3).[1@3];4.0;0.0;0.01;0.28161;0.28161;0.42677;0
32;1;4;3;45;105;0.7079365253448486;0.4113301436106364;0.4417397181193034;27.285;:~ value(farinacei,V1).[-1@4, V1]:~ value(pesce,V1).[V1@2, V1]:~ category(1).[-1@1];3.0;0.0;0.01;0.495;0.0;0.495;0
33;1;4;3;45;105;0.6063492298126221;0.3333333333333333;0.2757936517397563;34.155;:~ value(pesce,V1).[-V1@3, V1]:~ category(1).[-1@4]:~ category(3).[1@2]:~ value(uova,V1).[-V1@1, V1];4.0;0.0;0.05634;0.05634;0.44366;0.44366;0
34;1;4;3;45;105;0.5492063363393148;0.388095219930013;0.22308743000030518;28.263;:~ value(erbe_spezie_e_condimenti,V1).[-1@2, V1]:~ value(pesce,V1).[1@3, V1]:~ category(3).[-1@1]:~ category(1).[1@4];4.0;0.0;0.11625;0.12625;0.2525;0.505;0
35;1;4;3;45;105;0.5746031602223715;0.33283114433288574;0.32524510224660236;22.383;:~ value(erbe_spezie_e_condimenti,V1).[1@2, V1]:~ category(4).[-1@4]:~ category(3).[1@3]:~ value(verdure_e_ortaggi,V1).[1@1, V1];4.0;0.0;0.01;0.02;0.04;0.93;0
36;1;4;3;45;105;0.5809524059295654;0.3389861583709717;0.3128205140431722;18.228;:~ value(farinacei,V1).[-V1@4, V1]:~ value(pesce,V1).[-V1@2, V1]:~ value(pesce,V1).[1@3, V1];3.0;0.0;0.0;0.0225;0.0225;0.955;0
37;1;4;3;45;105;0.6126984357833862;0.2942841053009033;0.3004637161890666;34.087;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ category(3).[1@3]:~ value(verdure_e_ortaggi,V1).[-1@4, V1];3.0;0.0;0.0;0.01571;0.02;0.96429;0
38;1;4;3;45;105;0.6253968079884847;0.28805885712305707;0.2970814307530721;44.144;:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(forno,V1).[-1@3, V1]:~ category(3).[-1@4];3.0;0.0;0.0;0.01571;0.02;0.96429;0
39;1;4;3;45;105;0.688888947168986;0.5228758255640665;0.5163278977076212;33.647;:~ value(erbe_spezie_e_condimenti,V1).[1@1, V1]:~ value(carne,V1).[-1@2, V1]:~ value(verdure_e_ortaggi,V1).[-1@3, V1]:~ category(3).[1@4];4.0;0.0;0.01;0.2325;0.2525;0.505;0
40;1;4;3;45;105;0.6000000238418579;0.3462863763173421;0.3468085130055745;37.269;:~ value(erbe_spezie_e_condimenti,V1).[1@1, V1]:~ value(farinacei,V1).[-1@3, V1]:~ value(forno,V1).[-V1@2, V1]:~ category(1).[1@4];4.0;0.0;0.03;0.05;0.42;0.5;0
41;1;4;3;45;105;0.7460317611694336;0.43563318252563477;0.4201001326243083;25.944;:~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1]:~ value(forno,V1).[-1@1, V1]:~ category(4).[-1@4];3.0;0.0;0.04348;0.0;0.47826;0.47826;0
42;1;4;3;45;105;0.8158729871114095;0.48592591285705566;0.49637683232625324;31.487;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(farinacei,V1).[-1@2, V1]:~ value(forno,V1).[V1@4, V1];3.0;0.0;0.17742;0.17742;0.0;0.64516;0
43;1;4;3;45;105;0.7015873591105143;0.37893279393513996;0.38611563046773273;36.339;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(forno,V1).[1@2, V1]:~ value(uova,V1).[-1@4, V1];3.0;0.0;0.01;0.01636;0.0;0.97364;0
44;1;4;3;45;105;0.644444465637207;0.4028749068578084;0.3553960720698039;40.397;:~ value(farinacei,V1).[1@4, V1]:~ value(verdure_e_ortaggi,V1).[1@3, V1]:~ value(carne,V1).[1@1, V1]:~ value(erbe_spezie_e_condimenti,V1), category(3).[-1@2, V1];4.0;0.0;0.01;0.2325;0.2525;0.505;0
45;1;4;3;45;105;0.6507936318715414;0.3166463375091553;0.3427318334579468;28.696;:~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1]:~ value(pesce,V1).[1@1, V1]:~ category(1).[-1@4];3.0;0.0;0.01;0.0;0.495;0.495;0
46;1;4;3;45;105;0.5682539939880371;0.3333333333333333;0.23801743984222412;31.967;:~ value(pesce,V1).[1@4, V1]:~ value(pesce,V1).[-V1@2, V1]:~ value(carne,V1).[V1@3, V1];3.0;0.0;0.0;0.28742;0.28742;0.42516;0
47;1;4;3;45;105;0.5936508178710938;0.2977726658185323;0.2695707082748413;33.687;:~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1]:~ value(forno,V1).[-V1@4, V1]:~ category(3).[1@2];3.0;0.0;0.0;0.01;0.03667;0.95333;0
48;1;4;3;45;105;0.8095238208770752;0.4944444497426351;0.4891304175059001;27.692;:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(forno,V1).[V1@4, V1]:~ category(3).[1@2];3.0;0.0;0.0275;0.0275;0.0;0.945;0
