USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY
31;5;5;3;45;45;0.8666666348775228;0.7043478488922119;0.6630779902140299;83.101;:~ value(pasta,V1).[V1@1, V1] :~ value(verdure_e_ortaggi,V1).[-V1@2, V1] :~ category(4).[1@4] :~ category(3).[1@3] :~ value(forno,V1), category(3).[V1@5, V1] 
32;5;5;3;45;45;0.7925926049550375;0.6259427070617676;0.6478632291158041;80.012;:~ value(pasta,V1).[V1@5, V1] :~ value(verdure_e_ortaggi,V1).[V1@1, V1] :~ category(3).[1@2] 
33;5;5;3;45;45;0.8370370864868164;0.7132034301757812;0.7046783765157064;68.787;:~ value(verdure_e_ortaggi,V1).[-V1@1, V1] :~ category(1).[-1@5] :~ category(4).[-1@4] 
34;5;5;3;45;45;0.8666666348775228;0.8619047800699869;0.6362637281417847;74.063;:~ value(erbe_spezie_e_condimenti,V1).[-V1@4, V1] :~ value(carne,V1).[-V1@1, V1] :~ value(verdure_e_ortaggi,V1).[V1@2, V1] :~ category(1).[1@5] 
35;5;5;3;45;45;0.8962962627410889;0.9066666762034098;0.7909091313680013;52.028;:~ value(verdure_e_ortaggi,V1).[V1@3, V1] :~ value(erbe_spezie_e_condimenti,V1).[-V1@4, V1] :~ value(erbe_spezie_e_condimenti,V1), category(3).[V1@5, V1] 
36;5;5;3;45;45;0.8222222328186035;0.7651515007019043;0.7155388991038004;62.395;:~ category(3).[1@5] :~ category(2).[-1@1] 
37;5;5;3;45;45;0.8222222328186035;0.6861111323038737;0.6659340858459473;83.259;:~ value(pasta,V1).[V1@4, V1] :~ value(farinacei,V1).[V1@5, V1] :~ value(verdure_e_ortaggi,V1), category(3).[-V1@1, V1] 
38;5;5;3;45;45;0.8370370864868164;0.6585185527801514;0.6467339992523193;77.713;:~ value(carne,V1).[V1@3, V1] :~ value(verdure_e_ortaggi,V1).[V1@2, V1] :~ value(forno,V1).[-V1@4, V1] :~ category(3).[-1@5] 
39;5;5;3;45;45;0.8962963422139486;0.561253547668457;0.6021505196889242;59.057;:~ value(pasta,V1).[V1@5, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@4, V1] :~ value(verdure_e_ortaggi,V1).[-V1@3, V1] 
40;5;5;3;45;45;0.8962963422139486;0.5805555582046509;0.603174606959025;78.026;:~ value(carne,V1).[V1@2, V1] :~ value(verdure_e_ortaggi,V1).[-V1@1, V1] :~ value(forno,V1).[-V1@4, V1] :~ category(1).[1@5] :~ value(erbe_spezie_e_condimenti,V1), category(3).[V1@3, V1] 
41;5;5;3;45;45;0.7629629770914713;0.6115779876708984;0.6153846184412638;119.365;:~ value(forno,V1).[-V1@4, V1] :~ category(4).[-1@5] :~ value(verdure_e_ortaggi,V1), category(3).[-V1@3, V1] 
42;5;5;3;45;45;0.8666667143503824;0.5425287485122681;0.5429864327112833;68.397;:~ value(pasta,V1).[V1@4, V1] :~ value(carne,V1).[-V1@1, V1] :~ value(verdure_e_ortaggi,V1).[-V1@2, V1] :~ value(forno,V1).[V1@5, V1] 
43;5;5;3;45;45;0.8074073791503906;0.722663164138794;0.6416666507720947;101.999;:~ category(4).[-1@5] :~ value(forno,V1), category(3).[-V1@4, V1] :~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@3, V1] :~ value(verdure_e_ortaggi,V1), category(3).[V1@1, V1] 
44;5;5;3;45;45;0.8518518606821696;0.6727272669474283;0.5999999841054281;110.038;:~ value(pasta,V1).[V1@3, V1] :~ category(3).[-1@2] :~ category(4).[1@1] :~ value(carne,V1), category(3).[-V1@5, V1] :~ value(verdure_e_ortaggi,V1), category(3).[-V1@4, V1] 
45;5;5;3;45;45;0.8074074586232504;0.6319758892059326;0.5977951288223267;86.856;:~ value(erbe_spezie_e_condimenti,V1).[-V1@4, V1] :~ value(carne,V1).[V1@2, V1] :~ category(1).[-1@5] :~ value(verdure_e_ortaggi,V1), category(3).[-V1@3, V1] 
46;5;5;3;45;45;0.7185185750325521;0.5205387274424235;0.6241545677185059;100.982;:~ value(verdure_e_ortaggi,V1).[V1@3, V1] :~ value(forno,V1).[-V1@2, V1] :~ category(4).[-1@1] 
47;5;5;3;45;45;0.8074073791503906;0.4898245731989543;0.5079365173975626;106.28;:~ value(pasta,V1).[V1@5, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@3, V1] :~ value(verdure_e_ortaggi,V1).[-V1@2, V1] :~ value(farinacei,V1).[V1@4, V1] 
48;5;5;3;45;45;0.8666667143503824;0.5425287485122681;0.5429864327112833;69.572;:~ value(pasta,V1).[V1@4, V1] :~ value(carne,V1).[-V1@1, V1] :~ value(verdure_e_ortaggi,V1).[-V1@2, V1] :~ value(forno,V1).[V1@5, V1] 
49;5;5;3;45;45;0.8074073791503906;0.722663164138794;0.6416666507720947;102.518;:~ category(4).[-1@5] :~ value(forno,V1), category(3).[-V1@4, V1] :~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@3, V1] :~ value(verdure_e_ortaggi,V1), category(3).[V1@1, V1] 
50;5;5;3;45;45;0.8518518606821696;0.6727272669474283;0.5999999841054281;108.715;:~ value(pasta,V1).[V1@3, V1] :~ category(3).[-1@2] :~ category(4).[1@1] :~ value(carne,V1), category(3).[-V1@5, V1] :~ value(verdure_e_ortaggi,V1), category(3).[-V1@4, V1] 
51;5;5;3;45;45;0.8074074586232504;0.6319758892059326;0.5977951288223267;96.619;:~ value(erbe_spezie_e_condimenti,V1).[-V1@4, V1] :~ value(carne,V1).[V1@2, V1] :~ category(1).[-1@5] :~ value(verdure_e_ortaggi,V1), category(3).[-V1@3, V1] 
52;5;5;3;45;45;0.7185185750325521;0.5205387274424235;0.6241545677185059;104.439;:~ value(verdure_e_ortaggi,V1).[V1@3, V1] :~ value(forno,V1).[-V1@2, V1] :~ category(4).[-1@1] 
53;5;5;3;45;45;0.8074073791503906;0.4898245731989543;0.5079365173975626;91.118;:~ value(pasta,V1).[V1@5, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@3, V1] :~ value(verdure_e_ortaggi,V1).[-V1@2, V1] :~ value(farinacei,V1).[V1@4, V1] 
