USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;CORRECT;UNCERTAIN;INCORRECT;CORRECTP;UNCERTAINP;INCORRECTP;CORRECT_UDISCARDEDP;TRAIN_TIME;THEORY
15;1;1;3;45;105;90;9;6;0.8571428571428571;0.08571428571428572;0.05714285714285714;0.9375;10.108;:~ category(3), value(erbe_spezie_e_condimenti,V1).[V1@1, V1] 
15;2;2;3;45;105;84;21;0;0.8;0.2;0.0;1.0;20.69;:~ category(3).[1@2] :~ category(3), value(forno,V1).[-V1@1, V1] 
15;3;3;3;45;105;84;21;0;0.8;0.2;0.0;1.0;24.056;:~ category(3).[1@3] :~ category(3), value(farinacei,V1).[-V1@1, V1] :~ category(3), value(forno,V1).[-1@2, V1] 
15;4;4;3;45;105;84;21;0;0.8;0.2;0.0;1.0;29.485;:~ category(3).[1@4] :~ value(carne,V1).[-1@1, V1] :~ value(funghi_e_tartufi,V1).[V1@3, V1] :~ category(3), value(farinacei,V1).[-V1@2, V1] 
15;5;5;3;45;105;74;21;10;0.7047619047619048;0.2;0.09523809523809523;0.8809523809523809;42.453;:~ category(3).[1@4] :~ value(funghi_e_tartufi,V1).[V1@5, V1] :~ value(carne,V1).[-V1@1, V1] :~ category(3), value(farinacei,V1).[-V1@3, V1] 
20;1;1;3;45;105;9;72;24;0.08571428571428572;0.6857142857142857;0.22857142857142856;0.2727272727272727;19.558;:~ value(forno,V1).[-V1@1, V1] 
20;2;2;3;45;105;35;44;26;0.3333333333333333;0.41904761904761906;0.24761904761904763;0.5737704918032787;36.442;:~ value(farinacei,V1).[V1@1, V1] :~ value(forno,V1).[-1@2, V1] 
20;3;3;3;45;105;35;44;26;0.3333333333333333;0.41904761904761906;0.24761904761904763;0.5737704918032787;52.608;:~ value(farinacei,V1).[V1@1, V1] :~ value(forno,V1).[-1@2, V1] :~ value(dolcificanti,V1).[1@3, V1] 
20;4;4;3;45;105;73;14;18;0.6952380952380952;0.13333333333333333;0.17142857142857143;0.8021978021978022;63.973;:~ value(verdure_e_ortaggi,V1).[1@2, V1] :~ value(pesce,V1).[1@4, V1] :~ category(4), value(erbe_spezie_e_condimenti,V1).[V1@3, V1] :~ category(3), value(farinacei,V1).[V1@1, V1] 
20;5;5;3;45;105;78;11;16;0.7428571428571429;0.10476190476190476;0.1523809523809524;0.8297872340425532;112.698;:~ value(farinacei,V1).[V1@1, V1] :~ value(forno,V1).[-1@3, V1] :~ value(verdure_e_ortaggi,V1).[1@2, V1] :~ value(frutta,V1).[V1@5, V1] :~ category(4), value(erbe_spezie_e_condimenti,V1).[V1@4, V1] 
29;1;1;3;45;105;24;49;32;0.22857142857142856;0.4666666666666667;0.3047619047619048;0.42857142857142855;26.363;:~ value(farinacei,V1).[-V1@1, V1] 
29;2;2;3;45;105;68;35;2;0.6476190476190476;0.3333333333333333;0.01904761904761905;0.9714285714285714;31.658;:~ category(4).[1@2] :~ value(farinacei,V1).[-V1@1, V1] 
29;3;3;3;45;105;69;34;2;0.6571428571428571;0.3238095238095238;0.01904761904761905;0.971830985915493;42.238;:~ value(forno,V1).[V1@1, V1] :~ value(farinacei,V1).[-1@2, V1] :~ category(4).[1@3] 
29;4;4;3;45;105;67;35;3;0.638095238095238;0.3333333333333333;0.02857142857142857;0.9571428571428572;60.488;:~ value(carne,V1).[V1@2, V1] :~ value(farinacei,V1).[-V1@1, V1] :~ category(5).[1@3] :~ category(4).[1@4] 
29;5;5;3;45;105;79;10;16;0.7523809523809524;0.09523809523809523;0.1523809523809524;0.8315789473684211;63.68;:~ category(4).[1@4] :~ value(farinacei,V1).[-V1@1, V1] :~ value(verdure_e_ortaggi,V1).[-1@3, V1] :~ value(pesce,V1).[-V1@2, V1] :~ category(5).[1@5] 
32;1;1;3;45;105;61;9;35;0.580952380952381;0.08571428571428572;0.3333333333333333;0.6354166666666666;23.347;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] 
32;2;2;3;45;105;59;26;20;0.5619047619047619;0.24761904761904763;0.19047619047619047;0.7468354430379747;35.675;:~ value(uova,V1).[-V1@1, V1] :~ value(pesce,V1).[-1@2, V1] 
32;3;3;3;45;105;76;16;13;0.7238095238095238;0.1523809523809524;0.12380952380952381;0.8539325842696629;46.507;:~ value(uova,V1).[-V1@2, V1] :~ value(frutta,V1).[-1@3, V1] :~ category(3).[1@1] 
32;4;4;3;45;105;77;16;12;0.7333333333333333;0.1523809523809524;0.11428571428571428;0.8651685393258427;59.291;:~ value(uova,V1).[-V1@2, V1] :~ value(frutta,V1).[-V1@4, V1] :~ category(3).[1@1] :~ value(farinacei,V1).[-1@3, V1] 
32;5;5;3;45;105;76;16;13;0.7238095238095238;0.1523809523809524;0.12380952380952381;0.8539325842696629;77.058;:~ category(5).[1@4] :~ category(3).[1@2] :~ value(uova,V1).[-V1@3, V1] :~ value(dolcificanti,V1).[-V1@5, V1] :~ value(carne,V1).[1@1, V1] 
36;1;1;3;45;105;65;22;18;0.6190476190476191;0.20952380952380953;0.17142857142857143;0.7831325301204819;18.731;:~ value(verdure_e_ortaggi,V1).[-V1@1, V1] 
36;2;2;3;45;105;65;22;18;0.6190476190476191;0.20952380952380953;0.17142857142857143;0.7831325301204819;27.09;:~ value(verdure_e_ortaggi,V1).[-V1@1, V1] :~ value(dolcificanti,V1).[-1@2, V1] 
36;3;3;3;45;105;65;14;26;0.6190476190476191;0.13333333333333333;0.24761904761904763;0.7142857142857143;36.619;:~ value(uova,V1).[1@1, V1] :~ value(verdure_e_ortaggi,V1).[-V1@2, V1] :~ value(dolcificanti,V1).[-1@3, V1] 
36;4;4;3;45;105;78;20;7;0.7428571428571429;0.19047619047619047;0.06666666666666667;0.9176470588235294;45.426;:~ value(farinacei,V1).[-1@2, V1] :~ value(uova,V1).[-V1@1, V1] :~ value(frutta,V1).[-1@4, V1] :~ category(3), value(uova,V1).[V1@3, V1] 
36;5;5;3;45;105;78;19;8;0.7428571428571429;0.18095238095238095;0.0761904761904762;0.9069767441860465;56.176;:~ value(farinacei,V1).[-1@1, V1] :~ value(dolcificanti,V1).[-V1@3, V1] :~ value(uova,V1).[-V1@2, V1] :~ value(funghi_e_tartufi,V1).[V1@5, V1] :~ category(3), value(forno,V1).[1@4, V1] 
3;1;1;3;105;105;28;76;1;0.26666666666666666;0.7238095238095238;0.009523809523809525;0.9655172413793104;81.541;:~ value(forno,V1).[-V1@1, V1] 
3;2;2;3;105;105;42;14;49;0.4;0.13333333333333333;0.4666666666666667;0.46153846153846156;406.398;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ category(3), value(forno,V1).[-V1@2, V1] 
3;3;3;3;105;105;61;26;18;0.580952380952381;0.24761904761904763;0.17142857142857143;0.7721518987341772;1217.44;:~ value(verdure_e_ortaggi,V1).[-V1@1, V1] :~ value(frittura,V1).[V1@3, V1] :~ category(3), value(forno,V1).[-V1@2, V1] 
3;4;4;3;105;105;58;8;39;0.5523809523809524;0.0761904761904762;0.37142857142857144;0.5979381443298969;1996.4;:~ value(frittura,V1).[V1@2, V1] :~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1] :~ value(funghi_e_tartufi,V1).[1@4, V1] :~ category(3), value(forno,V1).[-V1@3, V1] 
