USER25; n_neighbors = 20; leaf_size = 10; weight = distance; p = 1, mean accuracy: 0.738 (+/- 0.016), mean precision: 0.65 (+/- 0.016733201),  mean recall: 0.738 (+/- 0.016),  mean f1score: 0.678 (+/- 0.013266499),
USER26; n_neighbors = 20; leaf_size = 10; weight = distance; p = 1, mean accuracy: 0.752 (+/- 0.077562876), mean precision: 0.686 (+/- 0.102097996),  mean recall: 0.752 (+/- 0.077562876),  mean f1score: 0.708 (+/- 0.07909488),
USER27; n_neighbors = 20; leaf_size = 10; weight = uniform; p = 1, mean accuracy: 0.796 (+/- 0.023323808), mean precision: 0.756 (+/- 0.008),  mean recall: 0.796 (+/- 0.023323808),  mean f1score: 0.772 (+/- 0.019390719),
USER28; n_neighbors = 20; leaf_size = 10; weight = distance; p = 1, mean accuracy: 0.7 (+/- 0.050596442), mean precision: 0.672 (+/- 0.08447485),  mean recall: 0.7 (+/- 0.050596442),  mean f1score: 0.656 (+/- 0.05083306),
USER29; n_neighbors = 20; leaf_size = 10; weight = distance; p = 1, mean accuracy: 0.79 (+/- 0.056213878), mean precision: 0.756 (+/- 0.025768198),  mean recall: 0.79 (+/- 0.056213878),  mean f1score: 0.75 (+/- 0.058309518),
USER30; n_neighbors = 20; leaf_size = 10; weight = uniform; p = 1, mean accuracy: 0.794 (+/- 0.053141322), mean precision: 0.724 (+/- 0.039799497),  mean recall: 0.794 (+/- 0.053141322),  mean f1score: 0.754 (+/- 0.04758151),
USER31; n_neighbors = 20; leaf_size = 10; weight = distance; p = 1, mean accuracy: 0.554 (+/- 0.049638696), mean precision: 0.484 (+/- 0.07939773),  mean recall: 0.554 (+/- 0.049638696),  mean f1score: 0.49 (+/- 0.0678233),
USER32; n_neighbors = 20; leaf_size = 10; weight = distance; p = 1, mean accuracy: 0.748 (+/- 0.026381811), mean precision: 0.69 (+/- 0.016733201),  mean recall: 0.748 (+/- 0.026381811),  mean f1score: 0.706 (+/- 0.024166092),
USER33; n_neighbors = 20; leaf_size = 10; weight = uniform; p = 1, mean accuracy: 0.786 (+/- 0.051224995), mean precision: 0.734 (+/- 0.058514956),  mean recall: 0.786 (+/- 0.051224995),  mean f1score: 0.748 (+/- 0.053065997),
USER34; n_neighbors = 20; leaf_size = 10; weight = distance; p = 1, mean accuracy: 0.762 (+/- 0.056356013), mean precision: 0.642 (+/- 0.045343135),  mean recall: 0.762 (+/- 0.056356013),  mean f1score: 0.694 (+/- 0.053141322),
USER35; n_neighbors = 20; leaf_size = 10; weight = uniform; p = 1, mean accuracy: 0.762 (+/- 0.07467262), mean precision: 0.702 (+/- 0.07166589),  mean recall: 0.762 (+/- 0.07467262),  mean f1score: 0.72 (+/- 0.07720104),
USER36; n_neighbors = 5; leaf_size = 10; weight = distance; p = 1, mean accuracy: 0.66 (+/- 0.04857983), mean precision: 0.618 (+/- 0.07082372),  mean recall: 0.66 (+/- 0.04857983),  mean f1score: 0.622 (+/- 0.048332185),
USER37; n_neighbors = 20; leaf_size = 10; weight = uniform; p = 1, mean accuracy: 0.79 (+/- 0.034058772), mean precision: 0.726 (+/- 0.025768198),  mean recall: 0.79 (+/- 0.034058772),  mean f1score: 0.746 (+/- 0.032),
USER38; n_neighbors = 20; leaf_size = 10; weight = distance; p = 1, mean accuracy: 0.79 (+/- 0.07183314), mean precision: 0.728 (+/- 0.07025667),  mean recall: 0.79 (+/- 0.07183314),  mean f1score: 0.758 (+/- 0.07025667),
USER39; n_neighbors = 20; leaf_size = 10; weight = distance; p = 1, mean accuracy: 0.764 (+/- 0.033226494), mean precision: 0.762 (+/- 0.03487119),  mean recall: 0.764 (+/- 0.033226494),  mean f1score: 0.742 (+/- 0.028565714),
USER40; n_neighbors = 20; leaf_size = 10; weight = distance; p = 1, mean accuracy: 0.728 (+/- 0.07909488), mean precision: 0.658 (+/- 0.07138627),  mean recall: 0.728 (+/- 0.07909488),  mean f1score: 0.684 (+/- 0.076315135),
USER41; n_neighbors = 40; leaf_size = 10; weight = distance; p = 1, mean accuracy: 0.768 (+/- 0.0574108), mean precision: 0.684 (+/- 0.057827327),  mean recall: 0.768 (+/- 0.0574108),  mean f1score: 0.722 (+/- 0.061122827),
USER42; n_neighbors = 20; leaf_size = 10; weight = distance; p = 1, mean accuracy: 0.79 (+/- 0.050990194), mean precision: 0.724 (+/- 0.04498889),  mean recall: 0.79 (+/- 0.050990194),  mean f1score: 0.752 (+/- 0.048332185),
USER43; n_neighbors = 20; leaf_size = 10; weight = distance; p = 1, mean accuracy: 0.676 (+/- 0.033226494), mean precision: 0.624 (+/- 0.052763622),  mean recall: 0.676 (+/- 0.033226494),  mean f1score: 0.582 (+/- 0.051146846),
USER44; n_neighbors = 20; leaf_size = 10; weight = distance; p = 1, mean accuracy: 0.756 (+/- 0.07838367), mean precision: 0.684 (+/- 0.082121864),  mean recall: 0.756 (+/- 0.07838367),  mean f1score: 0.708 (+/- 0.084711276),
USER45; n_neighbors = 20; leaf_size = 10; weight = uniform; p = 1, mean accuracy: 0.718 (+/- 0.036551334), mean precision: 0.64 (+/- 0.036331803),  mean recall: 0.718 (+/- 0.036551334),  mean f1score: 0.674 (+/- 0.03611094),
USER46; n_neighbors = 20; leaf_size = 10; weight = distance; p = 1, mean accuracy: 0.804 (+/- 0.033226494), mean precision: 0.734 (+/- 0.048),  mean recall: 0.804 (+/- 0.033226494),  mean f1score: 0.758 (+/- 0.036551334),

best response: n_neighbors = 19.79, leaf_size = 20, distance, manhattan
