User 3: 0.8031747 accuracy; in the following cases: 
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.1, 0.1, 0.4, 0.4, 0.0] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.1, 0.1, 0.5, 0.1, 0.2] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.1, 0.1, 0.5, 0.3, 0.0] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.1, 0.1, 0.6, 0.1, 0.1] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.1, 0.1, 0.6, 0.2, 0.0] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.1, 0.2, 0.1, 0.1, 0.5] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.1, 0.2, 0.2, 0.1, 0.4] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.1, 0.2, 0.2, 0.2, 0.3] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.1, 0.2, 0.3, 0.1, 0.3] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.1, 0.2, 0.3, 0.2, 0.2] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.1, 0.2, 0.4, 0.1, 0.2] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.1, 0.2, 0.4, 0.3, 0.0] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.1, 0.2, 0.5, 0.1, 0.1] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.1, 0.2, 0.5, 0.2, 0.0] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.1, 0.2, 0.6, 0.1, 0.0] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.1, 0.3, 0.1, 0.1, 0.4] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.1, 0.3, 0.2, 0.1, 0.3] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.1, 0.3, 0.2, 0.2, 0.2] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.1, 0.3, 0.3, 0.1, 0.2] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.1, 0.3, 0.3, 0.3, 0.0] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.1, 0.3, 0.4, 0.1, 0.1] as factor vector
0.41045928 precision; 0.5601231 recall; 0.0 treshold; 5.0wc; [0.1, 0.3, 0.4, 0.2, 0.0] as factor vector
