USER_ID;MAX_V;MAX_P;DATASET_SIZE;OPT;THRESHOLD;F1;F2;F3;F4;F5
0.0;1.0;5.0;45.0;37.0;0.02159;0.05341;0.05341;0.05341;0.05341;0.78634
1.0;1.0;5.0;45.0;5.0;0.05333;0.17333;0.20667;0.20667;0.20667;0.20667
2.0;1.0;5.0;45.0;39.0;0.0;0.0;0.0;0.0;0.37831;0.62169
3.0;1.0;5.0;45.0;33.0;0.0;0.0;0.0;0.0;0.0;1.0
4.0;1.0;5.0;45.0;2.0;0.5;0.2;0.2;0.2;0.2;0.2
5.0;1.0;5.0;45.0;26.0;0.0205;0.16164;0.16164;0.16164;0.16164;0.35343
6.0;1.0;5.0;45.0;19.0;0.04918;0.2;0.2;0.2;0.2;0.2
7.0;1.0;5.0;45.0;38.0;0.00097;0.0;0.21383;0.21383;0.21383;0.35851
8.0;1.0;5.0;45.0;32.0;0.01;0.0;0.0;0.138;0.21952;0.64248
9.0;1.0;5.0;45.0;35.0;0.0;0.0;0.0;0.11091;0.11091;0.77817
10.0;1.0;5.0;45.0;3.0;0.3908;0.0;0.25;0.25;0.25;0.25
11.0;1.0;5.0;45.0;38.0;0.01299;0.0;0.0;0.0;0.0;1.0
12.0;1.0;5.0;45.0;13.0;0.1;0.2;0.2;0.2;0.2;0.2
13.0;1.0;5.0;45.0;3.0;0.03258;0.13438;0.13438;0.13438;0.13438;0.46247
14.0;1.0;5.0;45.0;34.0;0.0;0.0;0.0;0.0;0.0;1.0
15.0;1.0;5.0;45.0;31.0;0.0;0.0;0.0;0.0;0.13;0.87
16.0;1.0;5.0;45.0;32.0;0.01;0.13778;0.14222;0.14222;0.14222;0.43556
17.0;1.0;5.0;45.0;33.0;0.0;0.0;0.0;0.0;0.0;1.0
18.0;1.0;5.0;45.0;15.0;0.04918;0.2;0.2;0.2;0.2;0.2
19.0;1.0;5.0;45.0;36.0;0.0;0.03216;0.03216;0.03216;0.23059;0.67294
20.0;1.0;5.0;45.0;34.0;0.00308;0.0;0.0;0.08462;0.08462;0.83077
21.0;1.0;5.0;45.0;38.0;0.00159;0.0;0.17932;0.17932;0.17932;0.46205
22.0;1.0;5.0;45.0;36.0;0.0;0.0;0.0;0.0;0.0;1.0
23.0;1.0;5.0;45.0;30.0;0.00473;0.0746;0.0746;0.0746;0.0746;0.70162
24.0;1.0;5.0;45.0;31.0;0.00251;0.0;0.0;0.0123;0.49385;0.49385
25.0;1.0;5.0;45.0;32.0;0.0;0.15692;0.15692;0.15692;0.15692;0.37233
26.0;1.0;5.0;45.0;39.0;0.0;0.0;0.0;0.0;0.13;0.87
27.0;1.0;5.0;45.0;35.0;0.0;0.0;0.0;0.0;0.0;1.0
28.0;1.0;5.0;45.0;35.0;0.0;0.01074;0.01074;0.01074;0.09667;0.87111
29.0;1.0;5.0;45.0;4.0;0.5;0.0;0.0;0.33333;0.33333;0.33333
30.0;1.0;5.0;45.0;9.0;0.03286;0.15714;0.21071;0.21071;0.21071;0.21071
31.0;1.0;5.0;45.0;23.0;0.01679;0.0;0.044;0.044;0.044;0.868
32.0;1.0;5.0;45.0;27.0;0.03667;0.0;0.0;0.0;0.39333;0.60667
33.0;1.0;5.0;45.0;8.0;0.5;0.2;0.2;0.2;0.2;0.2
34.0;1.0;5.0;45.0;5.0;0.3908;0.0;0.25;0.25;0.25;0.25
35.0;1.0;5.0;45.0;5.0;0.3908;0.0;0.0;0.0;0.0;1.0
36.0;1.0;5.0;45.0;32.0;0.09195;0.0;0.0;0.0;0.0;1.0
37.0;1.0;5.0;45.0;34.0;0.06604;0.0;0.0;0.0;0.0;1.0
38.0;1.0;5.0;45.0;35.0;0.0297;0.0;0.0;0.0;0.0;1.0
39.0;1.0;5.0;45.0;37.0;0.0;0.0;0.0;0.0;0.0;1.0
40.0;1.0;5.0;45.0;38.0;5e-05;0.0;0.0;0.14927;0.14927;0.70146
41.0;1.0;5.0;45.0;31.0;0.00901;0.0;0.0;0.24226;0.24226;0.51547
42.0;1.0;5.0;45.0;34.0;0.01479;0.0;0.0;0.0;0.16618;0.83382
43.0;1.0;5.0;45.0;30.0;0.00143;0.0;0.0;0.0;0.04333;0.95667
44.0;1.0;5.0;45.0;32.0;0.0;0.0;0.0;0.0;0.2275;0.7725
45.0;1.0;5.0;45.0;9.0;0.1;0.2;0.2;0.2;0.2;0.2
46.0;1.0;5.0;45.0;17.0;0.0578;0.2;0.2;0.2;0.2;0.2
47.0;1.0;5.0;45.0;3.0;0.1;0.2;0.2;0.2;0.2;0.2
48.0;1.0;5.0;45.0;34.0;0.01479;0.0;0.0;0.0;0.16618;0.83382
49.0;1.0;5.0;45.0;30.0;0.00143;0.0;0.0;0.0;0.04333;0.95667
50.0;1.0;5.0;45.0;32.0;0.0;0.0;0.0;0.0;0.2275;0.7725
51.0;1.0;5.0;45.0;9.0;0.1;0.2;0.2;0.2;0.2;0.2
52.0;1.0;5.0;45.0;17.0;0.0578;0.2;0.2;0.2;0.2;0.2
53.0;1.0;5.0;45.0;3.0;0.1;0.2;0.2;0.2;0.2;0.2
0.0;1.0;5.0;105.0;70.0;0.0;0.0;0.0;0.0;0.0;1.0
1.0;1.0;5.0;105.0;72.0;0.0;0.0;0.0;0.0;0.0;1.0
2.0;1.0;5.0;105.0;59.0;0.04388;0.0;0.0;0.0;0.42951;0.57049
3.0;1.0;5.0;105.0;62.0;0.01333;0.16167;0.16167;0.16167;0.16167;0.35333
4.0;1.0;5.0;105.0;71.0;0.00695;0.0;0.0;0.0;0.0;1.0
5.0;1.0;5.0;105.0;65.0;0.0;0.0;0.0;0.0;0.0;1.0
6.0;1.0;5.0;105.0;12.0;0.16106;0.03492;0.03492;0.31005;0.31005;0.31005
7.0;1.0;5.0;105.0;11.0;0.0;0.0;0.0;0.0;0.0;1.0
8.0;1.0;5.0;105.0;61.0;0.04348;0.0;0.0;0.0;0.0;1.0
9.0;1.0;5.0;105.0;42.0;0.05839;0.0;0.0;0.0;0.0;1.0
10.0;1.0;5.0;105.0;30.0;0.0825;0.0;0.0;0.265;0.265;0.47
11.0;1.0;5.0;105.0;64.0;0.02468;0.0;0.0;0.20179;0.20179;0.59641
12.0;1.0;5.0;105.0;80.0;0.08434;0.0;0.0;0.0;0.0;1.0
13.0;1.0;5.0;105.0;56.0;0.04376;0.00108;0.00108;0.00108;0.00108;0.99566
14.0;1.0;5.0;105.0;15.0;0.08443;0.2;0.2;0.2;0.2;0.2
15.0;1.0;5.0;105.0;37.0;0.0825;0.0;0.0;0.265;0.265;0.47
16.0;1.0;5.0;105.0;8.0;0.03788;0.03551;0.22927;0.22927;0.22927;0.27669
17.0;1.0;5.0;105.0;72.0;0.00959;0.0;0.0;0.0;0.00327;0.99673
18.0;1.0;5.0;105.0;33.0;0.03646;0.09271;0.09271;0.16767;0.16767;0.47925
19.0;1.0;5.0;105.0;69.0;0.03774;0.0;0.0;0.0;0.0;1.0
20.0;1.0;5.0;105.0;60.0;0.04044;0.02756;0.04711;0.04711;0.04711;0.83111
21.0;1.0;5.0;105.0;11.0;0.17502;0.0;0.0;0.33333;0.33333;0.33333
22.0;1.0;5.0;105.0;67.0;0.02341;0.0;0.0;0.0;0.07552;0.92448
23.0;1.0;5.0;105.0;17.0;0.07286;0.16857;0.20786;0.20786;0.20786;0.20786
24.0;1.0;5.0;105.0;75.0;0.01333;0.16167;0.16167;0.16167;0.16167;0.35333
25.0;1.0;5.0;105.0;12.0;0.08857;0.15143;0.21214;0.21214;0.21214;0.21214
26.0;1.0;5.0;105.0;61.0;0.0;0.0;0.0;0.065;0.065;0.87
