USER_ID;MAX_V;MAX_P;DATASET_SIZE;OPT;THRESHOLD;F1;F2;F3;F4;F5
5.0;1.0;5.0;105.0;65.0;0.0;0.0;0.0;0.0;0.0;1.0
6.0;1.0;5.0;105.0;10.0;0.12356;0.0;0.2324;0.2324;0.2324;0.3028
7.0;1.0;5.0;105.0;62.0;0.00576;0.0;0.0;0.0;0.15759;0.84241
8.0;1.0;5.0;105.0;82.0;0.00441;0.03718;0.03718;0.03718;0.23356;0.65491
9.0;1.0;5.0;105.0;42.0;0.04824;0.1198;0.1198;0.1198;0.23765;0.40294
10.0;1.0;5.0;105.0;75.0;0.01333;0.16167;0.16167;0.16167;0.16167;0.35333
11.0;1.0;5.0;105.0;69.0;0.0;-0.0;-0.0;-0.0;0.0;1.0
12.0;1.0;5.0;105.0;80.0;0.08434;0.0;0.0;0.0;0.0;1.0
13.0;1.0;5.0;105.0;56.0;0.04376;0.00108;0.00108;0.00108;0.00108;0.99566
14.0;1.0;5.0;105.0;69.0;0.00694;0.13729;0.13729;0.13729;0.13729;0.45086
15.0;1.0;5.0;105.0;12.0;0.08857;0.15143;0.15143;0.15143;0.15143;0.39429
16.0;1.0;5.0;105.0;44.0;0.05;0.03033;0.03033;0.03033;0.087;0.822
17.0;1.0;5.0;105.0;16.0;0.09488;0.07812;0.23047;0.23047;0.23047;0.23047
18.0;1.0;5.0;105.0;9.0;0.065;0.0;0.13167;0.13167;0.13167;0.605
19.0;1.0;5.0;105.0;69.0;0.03774;0.0;0.0;0.0;0.0;1.0
20.0;1.0;5.0;105.0;67.0;0.01539;0.03105;0.03105;0.03105;0.21211;0.69474
21.0;1.0;5.0;105.0;53.0;0.03154;0.00205;0.00205;0.00205;0.28615;0.70769
22.0;1.0;5.0;105.0;74.0;0.00766;0.0;0.0;0.0775;0.0775;0.845
23.0;1.0;5.0;105.0;17.0;0.07286;0.0;0.16857;0.16857;0.16857;0.49429
24.0;1.0;5.0;105.0;82.0;0.00367;0.06816;0.06816;0.06816;0.1598;0.63571
25.0;1.0;5.0;105.0;72.0;0.00038;0.00269;0.00269;0.00269;0.00269;0.98925
26.0;1.0;5.0;105.0;61.0;0.0;0.0;0.0;0.065;0.065;0.87
27.0;1.0;5.0;105.0;75.0;0.01223;0.0;0.0;0.0;0.44653;0.55347
28.0;1.0;5.0;105.0;21.0;0.12257;0.0;0.0;0.0;0.20004;0.79996
29.0;1.0;5.0;105.0;19.0;0.096;0.0;0.212;0.212;0.212;0.364
30.0;1.0;5.0;105.0;72.0;0.0;0.0;0.0;0.0;0.0;1.0
31.0;1.0;5.0;105.0;78.0;0.00099;0.0;0.0;0.0;0.0;1.0
32.0;1.0;5.0;105.0;15.0;0.25547;0.0;0.25;0.25;0.25;0.25
