User 3: 0.6797385 recall; in the following cases: 
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.2, 0.1, 0.2, 0.2, 0.3] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.2, 0.1, 0.2, 0.3, 0.2] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.2, 0.1, 0.2, 0.4, 0.1] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.2, 0.1, 0.3, 0.0, 0.4] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.2, 0.1, 0.3, 0.1, 0.3] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.2, 0.1, 0.3, 0.2, 0.2] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.2, 0.1, 0.4, 0.0, 0.3] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.2, 0.1, 0.4, 0.1, 0.2] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.2, 0.1, 0.5, 0.0, 0.2] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.2, 0.1, 0.5, 0.1, 0.1] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.2, 0.1, 0.6, 0.0, 0.1] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.2, 0.2, 0.2, 0.0, 0.4] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.2, 0.2, 0.2, 0.1, 0.3] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.2, 0.2, 0.2, 0.2, 0.2] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.2, 0.2, 0.3, 0.0, 0.3] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.2, 0.2, 0.3, 0.1, 0.2] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.2, 0.2, 0.4, 0.0, 0.2] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.3, 0.1, 0.1, 0.0, 0.5] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.3, 0.1, 0.1, 0.1, 0.4] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.3, 0.1, 0.1, 0.2, 0.3] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.3, 0.1, 0.1, 0.3, 0.2] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.3, 0.1, 0.1, 0.4, 0.1] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.3, 0.1, 0.2, 0.0, 0.4] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.3, 0.1, 0.2, 0.1, 0.3] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.3, 0.1, 0.2, 0.2, 0.2] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.3, 0.1, 0.3, 0.0, 0.3] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.3, 0.1, 0.3, 0.1, 0.2] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.3, 0.1, 0.4, 0.0, 0.2] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.3, 0.1, 0.4, 0.1, 0.1] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.3, 0.1, 0.5, 0.0, 0.1] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.3, 0.2, 0.2, 0.0, 0.3] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.3, 0.2, 0.2, 0.1, 0.2] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.3, 0.2, 0.3, 0.0, 0.2] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.4, 0.1, 0.1, 0.0, 0.4] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.4, 0.1, 0.1, 0.1, 0.3] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.4, 0.1, 0.1, 0.2, 0.2] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.4, 0.1, 0.2, 0.0, 0.3] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.4, 0.1, 0.2, 0.1, 0.2] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.4, 0.1, 0.3, 0.0, 0.2] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.4, 0.1, 0.3, 0.1, 0.1] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.4, 0.1, 0.4, 0.0, 0.1] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.4, 0.2, 0.2, 0.0, 0.2] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.5, 0.1, 0.1, 0.0, 0.3] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.5, 0.1, 0.1, 0.1, 0.2] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.5, 0.1, 0.2, 0.0, 0.2] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.5, 0.1, 0.2, 0.1, 0.1] as factor vector
0.7358491 accuracy; 0.49901962 precision; 0.0 treshold; 5.0wc; [0.6, 0.1, 0.1, 0.0, 0.2] as factor vector
--------------------------------------------------------------
User 11: 0.67521363 recall; in the following cases: 
0.52201253 accuracy; 0.5123123 precision; 0.8 treshold; 5.0wc; [0.0, 0.0, 0.0, 1.0, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.75 treshold; 5.0wc; [0.0, 0.0, 0.0, 1.0, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.7 treshold; 5.0wc; [0.0, 0.0, 0.0, 1.0, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.65 treshold; 5.0wc; [0.0, 0.0, 0.0, 0.9, 0.1] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.65 treshold; 5.0wc; [0.0, 0.0, 0.0, 1.0, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.65 treshold; 5.0wc; [0.0, 0.1, 0.0, 0.9, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.6 treshold; 5.0wc; [0.0, 0.0, 0.0, 0.9, 0.1] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.6 treshold; 5.0wc; [0.0, 0.0, 0.0, 1.0, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.6 treshold; 5.0wc; [0.0, 0.1, 0.0, 0.9, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.6 treshold; 5.0wc; [0.1, 0.0, 0.0, 0.9, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.55 treshold; 5.0wc; [0.0, 0.0, 0.0, 0.9, 0.1] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.55 treshold; 5.0wc; [0.0, 0.0, 0.0, 1.0, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.55 treshold; 5.0wc; [0.0, 0.1, 0.0, 0.9, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.55 treshold; 5.0wc; [0.0, 0.2, 0.0, 0.8, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.55 treshold; 5.0wc; [0.1, 0.0, 0.0, 0.9, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.5 treshold; 5.0wc; [0.0, 0.0, 0.0, 0.8, 0.2] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.5 treshold; 5.0wc; [0.0, 0.0, 0.0, 0.9, 0.1] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.5 treshold; 5.0wc; [0.0, 0.0, 0.0, 1.0, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.5 treshold; 5.0wc; [0.0, 0.1, 0.0, 0.9, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.5 treshold; 5.0wc; [0.0, 0.2, 0.0, 0.8, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.5 treshold; 5.0wc; [0.1, 0.0, 0.0, 0.8, 0.1] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.5 treshold; 5.0wc; [0.1, 0.0, 0.0, 0.9, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.5 treshold; 5.0wc; [0.1, 0.1, 0.0, 0.8, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.45 treshold; 5.0wc; [0.0, 0.0, 0.0, 0.8, 0.2] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.45 treshold; 5.0wc; [0.0, 0.0, 0.0, 0.9, 0.1] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.45 treshold; 5.0wc; [0.0, 0.0, 0.0, 1.0, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.45 treshold; 5.0wc; [0.0, 0.1, 0.0, 0.7, 0.2] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.45 treshold; 5.0wc; [0.0, 0.1, 0.0, 0.9, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.45 treshold; 5.0wc; [0.0, 0.2, 0.0, 0.8, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.45 treshold; 5.0wc; [0.0, 0.3, 0.0, 0.7, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.45 treshold; 5.0wc; [0.1, 0.0, 0.0, 0.8, 0.1] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.45 treshold; 5.0wc; [0.1, 0.0, 0.0, 0.9, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.45 treshold; 5.0wc; [0.1, 0.1, 0.0, 0.8, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.4 treshold; 5.0wc; [0.0, 0.0, 0.0, 0.7, 0.3] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.4 treshold; 5.0wc; [0.0, 0.0, 0.0, 0.8, 0.2] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.4 treshold; 5.0wc; [0.0, 0.0, 0.0, 0.9, 0.1] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.4 treshold; 5.0wc; [0.0, 0.0, 0.0, 1.0, 0.0] as factor vector
0.52201253 accuracy; 0.5255255 precision; 0.4 treshold; 5.0wc; [0.0, 0.0, 0.1, 0.8, 0.1] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.4 treshold; 5.0wc; [0.0, 0.1, 0.0, 0.7, 0.2] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.4 treshold; 5.0wc; [0.0, 0.1, 0.0, 0.9, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.4 treshold; 5.0wc; [0.0, 0.2, 0.0, 0.8, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.4 treshold; 5.0wc; [0.0, 0.3, 0.0, 0.7, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.4 treshold; 5.0wc; [0.1, 0.0, 0.0, 0.7, 0.2] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.4 treshold; 5.0wc; [0.1, 0.0, 0.0, 0.8, 0.1] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.4 treshold; 5.0wc; [0.1, 0.0, 0.0, 0.9, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.4 treshold; 5.0wc; [0.1, 0.1, 0.0, 0.8, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.4 treshold; 5.0wc; [0.1, 0.2, 0.0, 0.7, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.4 treshold; 5.0wc; [0.2, 0.0, 0.0, 0.8, 0.0] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.35 treshold; 5.0wc; [0.0, 0.0, 0.0, 0.7, 0.3] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.35 treshold; 5.0wc; [0.0, 0.0, 0.0, 0.8, 0.2] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.35 treshold; 5.0wc; [0.0, 0.0, 0.0, 0.9, 0.1] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.35 treshold; 5.0wc; [0.0, 0.0, 0.0, 1.0, 0.0] as factor vector
0.52201253 accuracy; 0.5255255 precision; 0.35 treshold; 5.0wc; [0.0, 0.0, 0.1, 0.7, 0.2] as factor vector
0.52201253 accuracy; 0.5123123 precision; 0.35 treshold; 5.0wc; [0.0, 0.1, 0.0, 0.6, 0.3] as factor vector
