USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACY1;ACCURACY0;ACCURACY-1;PRECISION1;PRECISION0;PRECISION-1;RECALL1;RECALL0,RECALL-1;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME
15;1;5;3;105;1;1.0;1.0;1.0;1.0;0;1.0;1.0;0;1.0;1.0;0.6666666666666666;0.6666666666666666;2.974
3;1;5;3;105;1;1.0;0.9895833;0.9895833;1.0;0.0;1.0;1.0;0;0.9818182;0.993055502573649;0.6666666666666666;0.6606060663859049;2.858
32;1;5;3;105;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4.002
7;1;5;3;105;1;0.96629214;0.9775281;0.96629214;0.94;0;0.974359;1.0;0.0;0.95;0.9700374603271484;0.638119657834371;0.6500000158945719;4.064
36;1;5;3;105;1;0.98734176;0.98734176;0.9746835;1.0;0.0;0.9756098;0.9736842;0;0.9756098;0.9831223487854004;0.6585365931193033;0.6497646570205688;3.561
4;1;5;3;105;1;0.89772725;0.9886364;0.90909094;0.84090906;0;0.95454544;0.94871795;0.0;0.875;0.9318181673685709;0.5984848340352377;0.6079059839248657;4.344
20;1;5;3;105;1;0.93406594;0.989011;0.94505495;0.92156863;0;0.95;0.9591837;0.0;0.9268293;0.9560439586639404;0.6238562067349752;0.6286710103352865;3.318
29;1;5;3;105;1;0.98913044;0.98913044;1.0;0.9818182;0;1.0;1.0;0.0;1.0;0.9927536646525065;0.6606060663859049;0.6666666666666666;4.273
14;1;5;3;105;1;0.96907216;0.9896907;0.97938144;0.9574468;0.0;1.0;0.9782609;0;0.9607843;0.9793814023335775;0.652482271194458;0.6463483969370524;5.951
11;1;5;3;105;1;1.0;1.0;1.0;1.0;0;1.0;1.0;0;1.0;1.0;0.6666666666666666;0.6666666666666666;3.595
