USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACY1;ACCURACY0;ACCURACY-1;PRECISION1;PRECISION0;PRECISION-1;RECALL1;RECALL0,RECALL-1;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME
15;1;5;3;45;1;0.9886364;1.0;0.9886364;0.975;0;1.0;1.0;0;0.97959185;0.9924242496490479;0.6583333412806193;0.6598639488220215;3.874
3;1;5;3;45;1;1.0;0.9895833;0.9895833;1.0;0.0;1.0;1.0;0;0.9777778;0.993055502573649;0.6666666666666666;0.6592592597007751;7.404
32;1;5;3;45;1;0.9756098;1.0;0.9756098;0.9574468;0;1.0;1.0;0;0.9459459;0.9837398529052734;0.652482271194458;0.6486486395200094;4.086
7;1;5;3;45;1;0.9777778;0.9777778;0.9777778;0.9756098;0.0;0.9791667;0.9756098;0.0;0.9791667;0.9777777989705404;0.6515921751658121;0.6515921751658121;4.005
36;1;5;3;45;1;0.975;0.9875;0.9875;0.9791667;0.5;1.0;0.9791667;1.0;0.9677419;0.9833333492279053;0.8263889153798422;0.9823029041290283;3.071
4;1;5;3;45;1;0.9782609;0.98913044;0.9673913;1.0;0;0.9347826;0.9583333;0.0;1.0;0.9782608350118002;0.6449275414148966;0.6527777512868246;3.769
20;1;5;3;45;1;0.9886364;1.0;0.9886364;1.0;0;0.9791667;0.9756098;0;1.0;0.9924242496490479;0.6597222288449606;0.6585365931193033;5.218
29;1;5;3;45;1;0.96938777;0.9489796;0.9591837;0.9791667;0.0;0.9574468;0.9591837;0.0;0.9574468;0.9591836929321289;0.6455378532409668;0.6388768355051676;3.219
14;1;5;3;45;1;0.95789474;1.0;0.95789474;0.97727275;0;0.9411765;0.9347826;0;0.97959185;0.9719298680623373;0.6394830743471781;0.6381248235702515;4.679
11;1;5;3;45;1;0.9583333;0.96875;0.96875;0.96;0.0;1.0;0.96;0;0.9347826;0.9652777512868246;0.6533333460489908;0.631594200929006;3.286
