USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACY1;ACCURACY0;ACCURACY-1;PRECISION1;PRECISION0;PRECISION-1;RECALL1;RECALL0,RECALL-1;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME
15;1;5;3;105;1;1.0;1.0;1.0;1.0;0;1.0;1.0;0;1.0;1.0;0.6666666666666666;0.6666666666666666;4.573
3;1;5;3;105;1;1.0;0.989899;0.989899;1.0;0.0;1.0;1.0;0;0.984127;0.9932659467061361;0.6666666666666666;0.6613756616910299;6.111
32;1;5;3;105;1;1.0;0.9746835;0.9746835;1.0;0.0;1.0;1.0;0;0.93939394;0.9831223487854004;0.6666666666666666;0.6464646458625793;3.292
7;1;5;3;105;1;0.9247312;0.9139785;0.9032258;0.9302326;0.2;0.8888889;0.90909094;0.2;0.90909094;0.9139784971872965;0.6730404694875082;0.6727272669474283;2.881
36;1;5;3;105;1;0.91764706;0.91764706;0.90588236;0.925;0.5;0.8717949;0.902439;0.42857143;0.9189189;0.9137255350748698;0.7655982971191406;0.7499764760335287;2.911
4;1;5;3;105;1;0.9354839;0.9892473;0.94623655;0.9607843;0.0;0.9268293;0.9245283;0;0.95;0.9569892883300781;0.629204511642456;0.6248427629470825;5.363
20;1;5;3;105;1;0.98913044;0.98913044;0.9782609;0.9782609;0.0;1.0;1.0;0;0.9574468;0.9855072498321533;0.6594202915827433;0.652482271194458;5.943
29;1;5;3;105;1;1.0;1.0;1.0;1.0;0;1.0;1.0;0;1.0;1.0;0.6666666666666666;0.6666666666666666;6.372
14;1;5;3;105;1;0.9381443;0.96907216;0.9484536;0.9811321;0.0;0.9268293;0.9122807;0;0.95;0.9518900712331136;0.635987122853597;0.6207602222760519;3.311
11;1;5;3;105;1;0.9787234;0.9893617;0.9680851;0.962963;0.0;1.0;1.0;0;0.9285714;0.9787233670552572;0.6543209950129191;0.6428571343421936;3.939
