USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACY1;ACCURACY0;ACCURACY-1;PRECISION1;PRECISION0;PRECISION-1;RECALL1;RECALL0,RECALL-1;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME
15;1;5;3;105;1;0.9305556;0.9305556;1.0;1.0;0.0;1.0;0.8684211;0;1.0;0.9537037213643392;0.6666666666666666;0.6228070259094238;218.815
3;1;5;3;105;1;0.8484849;0.7878788;0.83838385;0.875;0.0952381;0.96666664;0.8235294;0.5;0.65909094;0.824915885925293;0.6456348896026611;0.6608734925587972;53.819
32;1;5;3;105;1;0.7653061;0.8061224;0.85714287;0.7592593;0.44444445;0.8076923;0.8039216;0.47058824;0.7;0.8095238208770752;0.6704653104146322;0.6581699053446451;230.626
7;1;5;3;105;1;0.85;0.9;0.87;0.78571427;0.4;0.8679245;0.84615386;0.22222222;0.88461536;0.8733332951863607;0.6845462322235107;0.6509971618652344;4.309
36;1;5;3;105;1;0.90816325;0.8367347;0.82653064;0.9111111;0.4;0.8484849;0.8913044;0.6666667;0.7;0.8571428457895914;0.7198653221130371;0.7526570161183676;5.886
4;1;5;3;105;1;0.90425533;0.85106385;0.84042555;0.9148936;0.2;0.90625;0.8958333;0.6;0.70731705;0.8652482032775879;0.6737145582834879;0.7343835035959879;21.236
20;1;5;3;105;1;0.8876405;0.8764045;0.92134833;0.9677419;0.1;0.9166667;0.7692308;0.33333334;0.9361702;0.8951311111450195;0.6614695390065511;0.6795781453450521;3.994
29;1;5;3;105;1;0.8989899;0.8888889;0.90909094;0.86885244;0.125;1.0;0.96363634;0.2;0.7692308;0.8989899158477783;0.6646174589792887;0.6442890167236328;4.279
14;1;5;3;105;1;0.8;0.76;0.86;0.9354839;0.04;0.9318182;0.61702126;1.0;0.78846157;0.8066666920979818;0.635767380396525;0.801827589670817;1096.01
11;1;5;3;105;1;0.83838385;0.85858583;0.7777778;0.8;0.0;0.9354839;0.8979592;0.0;0.59183675;0.824915885925293;0.5784946282704672;0.4965986410776774;282.663
