USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACY1;ACCURACY0;ACCURACY-1;PRECISION1;PRECISION0;PRECISION-1;RECALL1;RECALL0,RECALL-1;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME
15;1;5;3;190;1;0.9677419;0.9892473;0.97849464;0.97619045;0.0;0.98;0.95348835;0;0.98;0.9784946441650391;0.6520634889602661;0.6444961229960123;7.086
3;1;5;3;190;1;0.989899;1.0;0.989899;0.9830508;0;1.0;1.0;0;0.9756098;0.9932659467061361;0.6610169410705566;0.6585365931193033;17.556
32;1;5;3;190;1;0.9878049;0.9878049;0.9756098;1.0;0.0;0.975;0.97619045;0;0.975;0.9837398529052734;0.6583333412806193;0.6503968238830566;7.006
7;1;5;3;190;1;0.96703297;0.989011;0.978022;0.9423077;0;1.0;1.0;0.0;0.9512195;0.9780219395955404;0.6474359035491943;0.6504065195719401;8.389
36;1;5;3;190;1;0.9876543;0.9876543;0.97530866;1.0;0.0;0.9777778;0.9722222;0;0.9777778;0.9835391044616699;0.6592592398325602;0.649999996026357;10.002
4;1;5;3;190;1;0.9354839;0.97849464;0.9139785;0.9347826;0;0.89361703;0.9347826;0.0;0.93333334;0.9426523844401041;0.609466552734375;0.6227053006490072;62.546
20;1;5;3;190;1;1.0;0.9791667;0.9791667;1.0;0.0;0.98039216;1.0;0.0;0.98039216;0.9861111640930176;0.6601307392120361;0.6601307392120361;9.646
29;1;5;3;190;1;0.97849464;0.9677419;0.9892473;0.97959185;0.0;1.0;0.97959185;0.0;0.9767442;0.9784946441650391;0.6598639488220215;0.6521120071411133;6.694
14;1;5;3;190;1;1.0;1.0;1.0;1.0;0;1.0;1.0;0;1.0;1.0;0.6666666666666666;0.6666666666666666;9.804
11;1;5;3;190;1;0.96875;0.9895833;0.9791667;0.95652175;0.0;1.0;0.9777778;0;0.9607843;0.9791666666666666;0.65217391649882;0.6461873650550842;10876.8
