USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACY1;ACCURACY0;ACCURACY-1;PRECISION1;PRECISION0;PRECISION-1;RECALL1;RECALL0,RECALL-1;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME
15;1;5;3;45;1;0.9892473;0.9892473;1.0;1.0;0.0;1.0;0.9814815;0;1.0;0.9928315480550131;0.6666666666666666;0.6604938308397929;7.827
3;1;5;3;45;1;0.959596;0.989899;0.94949496;0.96363634;0.0;0.95348835;0.96363634;0;0.9318182;0.9663299719492594;0.6390415827433268;0.6318181753158569;3.77
32;1;5;3;45;1;0.9876543;0.9876543;1.0;0.9767442;0;1.0;1.0;0.0;1.0;0.991769552230835;0.6589147249857584;0.6666666666666666;3.473
7;1;5;3;45;1;0.9673913;0.9782609;0.98913044;0.9787234;0.6666667;0.97619045;0.9583333;0.6666667;1.0;0.9782609144846598;0.8738602002461752;0.875;3.498
36;1;5;3;45;1;0.9886364;0.96590906;0.97727275;0.972973;0.0;0.98;1.0;0.0;0.98;0.9772727489471436;0.6509910027186075;0.6600000063578287;5.096
4;1;5;3;45;1;0.9574468;0.9680851;0.9468085;0.9782609;0.0;0.9148936;0.9375;0.0;0.97727275;0.957446813583374;0.631051500638326;0.6382575829823812;8.216
20;1;5;3;45;1;0.9680851;0.9787234;0.9680851;0.95454544;1.0;0.9591837;0.9767442;0.33333334;0.9791667;0.9716312090555826;0.9712430636088053;0.7630813916524252;4.034
29;1;5;3;45;1;0.9404762;0.9285714;0.96428573;0.93333334;0.0;0.9722222;0.95454544;0.0;0.9459459;0.944444497426351;0.635185162226359;0.6334971189498901;2.995
14;1;5;3;45;1;0.95789474;0.9894737;0.94736844;0.9777778;0.0;0.93877554;0.9361702;0;0.9583333;0.9649122556050619;0.6388510862986246;0.6315011779467264;4.207
11;1;5;3;45;1;0.93877554;0.9897959;0.9285714;0.90909094;0.5;0.9756098;0.98039216;1.0;0.8695652;0.9523809750874838;0.7949002583821615;0.9499858220418295;2.987
