USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACY1;ACCURACY0;ACCURACY-1;PRECISION1;PRECISION0;PRECISION-1;RECALL1;RECALL0,RECALL-1;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME
15;1;5;3;45;1;0.5;0.6666667;0.5;1.0;0.0;0.0;0.4;0;0.0;0.5555555820465088;0.3333333333333333;0.13333333532015482;52.861
3;1;5;3;45;1;0.64;0.95;0.61;0.6210526;0.0;1.0;1.0;0.0;0.025;0.7333332697550455;0.540350874265035;0.3416666587193807;66.381
32;1;5;3;45;1;0.53;0.71;0.5;0.4390244;0.16;0.44117647;0.42857143;0.33333334;0.32608697;0.5800000031789144;0.34673364957173664;0.3626639048258464;86.54
7;1;5;3;45;1;0.63;0.81;0.62;0.5084746;0.09090909;0.73333335;0.7894737;0.1;0.42307693;0.6866666475931803;0.4442390203475952;0.43751688798268634;46.575
36;1;5;3;45;1;0.61;0.76;0.67;0.52238804;0.3;0.6086956;0.8333333;0.15;0.36842105;0.6799999872843424;0.47702789306640625;0.45058480898539227;48.988
4;1;5;3;45;1;0.58;0.83;0.59;0.5641026;0.09090909;0.45454547;0.84615386;0.125;0.125;0.6666666666666666;0.36985238393147785;0.36538461844126385;36.393
20;1;5;3;45;1;0.56666666;0.7;0.64444447;0.5;0.11111111;0.6181818;0.102564104;0.5;0.75555557;0.6370370388031006;0.40976428985595703;0.45270657539367676;116.174
29;1;5;3;45;1;0.54;0.86;0.48;0.45783132;0.0;0.75;0.974359;0.0;0.10714286;0.6266667048136393;0.40261046091715497;0.36050061384836835;76.289
14;1;5;3;45;1;0.53;0.84;0.53;0.7222222;0.09090909;0.43661973;0.23636363;0.14285715;0.81578946;0.6333332856496176;0.41658369700113934;0.3983367284138997;218.495
11;1;5;3;45;1;0.53;0.91;0.54;0.505618;0.0;0.6666667;0.9375;0.0;0.083333336;0.6600000063578287;0.3907615343729655;0.3402777910232544;7.413
