USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACY1;ACCURACY0;ACCURACY-1;PRECISION1;PRECISION0;PRECISION-1;RECALL1;RECALL0,RECALL-1;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME
15;1;5;3;190;1;0.9054054;0.8918919;0.9324324;0.9705882;0.0;0.93939394;0.84615386;0.0;0.9117647;0.9099098841349283;0.6366607348124186;0.5859728654225668;5.273
3;1;5;3;190;1;0.87;0.79;0.76;0.82222223;0.045454547;1.0;0.88095236;1.0;0.57894737;0.8066666920979818;0.6225589116414388;0.8199665546417236;100.217
32;1;5;3;190;1;0.8041237;0.72164947;0.77319586;0.81395346;0.14285715;0.75757575;0.76086956;0.25;0.64102566;0.7663230101267496;0.5714621146519979;0.5506317218144735;52.719
7;1;5;3;190;1;0.7676768;0.7777778;0.8080808;0.84210527;0.05882353;0.77272725;0.6530612;0.14285715;0.7906977;0.7845117251078287;0.5578853289286295;0.528872013092041;479.661
36;1;5;3;190;1;0.8989899;0.8080808;0.8484849;0.8095238;0.5;0.85365856;0.9444444;0.42105263;0.79545456;0.8518518606821696;0.7210607528686523;0.7203172047932943;4.077
4;1;5;3;190;1;0.9052632;0.8947368;0.8842105;0.95;0.0;0.9130435;0.84444445;0.0;0.85714287;0.8947368462880453;0.6210145155588785;0.5671957731246948;5.085
20;1;5;3;190;1;0.9148936;0.89361703;0.9574468;0.9583333;0.0;1.0;0.88461536;0.0;0.902439;0.9219857851664225;0.6527777512868246;0.5956847667694092;3.592
29;1;5;3;190;1;0.8645833;0.7708333;0.78125;0.77272725;0.10526316;0.969697;0.9189189;0.2857143;0.61538464;0.805555502573649;0.6158958276112875;0.6066726048787435;5.396
14;1;5;3;190;1;0.84;0.85;0.89;0.9714286;0.0;0.88235295;0.6938776;0.0;0.9;0.8599999745686849;0.6179271539052328;0.5312925179799398;218.538
11;1;5;3;190;1;0.8787879;0.82828283;0.8080808;0.8076923;0.0;0.9705882;0.95454544;0.0;0.64705884;0.8383838335673014;0.59276016553243;0.5338680744171143;3141.73
