USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACY1;ACCURACY0;ACCURACY-1;PRECISION1;PRECISION0;PRECISION-1;RECALL1;RECALL0,RECALL-1;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME
15;1;5;3;105;1;0.8873239;0.8309859;0.91549295;0.96;0.0;1.0;0.7741935;0;0.85;0.8779342969258627;0.6533333460489908;0.5413978497187296;687.499
3;1;5;3;105;1;0.91;0.74;0.77;0.9302326;0.0;0.96875;0.8695652;0.0;0.5849057;0.8066666920979818;0.6329941749572754;0.48482362429300946;5.89
32;1;5;3;105;1;0.69473684;0.6105263;0.7263158;0.7692308;0.0882353;0.72727275;0.6;0.33333334;0.44444445;0.6771930058797201;0.528246283531189;0.4592592716217041;138.38
7;1;5;3;105;1;0.86868685;0.75757575;0.82828283;0.84375;0.2857143;0.84782606;0.7714286;0.4;0.79591835;0.8181818326314291;0.6590967973073324;0.6557823022206625;3.942
36;1;5;3;105;1;0.7979798;0.74747473;0.8484849;0.74418604;0.36842105;0.8108108;0.7804878;0.35;0.7894737;0.7979798316955566;0.6411393086115519;0.6399871508280436;1204.13
4;1;5;3;105;1;0.7765958;0.67021275;0.78723407;0.84375;0.032258064;0.9677419;0.627907;0.5;0.6122449;0.7446808815002441;0.6145833333333334;0.5800506273905436;48.027
20;1;5;3;105;1;0.83908045;0.7816092;0.8045977;0.8292683;0.05882353;0.9310345;0.8292683;0.25;0.64285713;0.8084290822347006;0.6063754558563232;0.5740417639414469;27.175
29;1;5;3;105;1;0.86315787;0.8210526;0.8947368;0.8666667;0.2;0.94285715;0.84782606;0.375;0.80487806;0.8596491018931071;0.6698412895202637;0.6759013334910074;35.961
14;1;5;3;105;1;0.7653061;0.78571427;0.8367347;0.9117647;0.0952381;0.81395346;0.60784316;0.5;0.81395346;0.7959183851877848;0.6069854100545248;0.6405988534291586;3.927
11;1;5;3;105;1;0.877551;0.74489796;0.78571427;0.9111111;0.03846154;1.0;0.8367347;1.0;0.5625;0.8027210235595703;0.6498575607935587;0.7997449239095052;6.793
