USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;CORRECT;UNCERTAIN;INCORRECT;CORRECTP;UNCERTAINP;INCORRECTP;CORRECT_UDISCARDEDP;TRAIN_TIME;THEORY
20;5;5;3;168;95;35;0;60;0.3684210526315789;0.0;0.631578947368421;0.3684210526315789;39.45;:~ value(pc0,V1).[V1@1, V1] 
29;1;1;3;178;79;22;0;57;0.27848101265822783;0.0;0.7215189873417721;0.27848101265822783;17.164;:~ value(pc11,V1).[-V1@1, V1] 
29;2;2;3;178;79;22;0;57;0.27848101265822783;0.0;0.7215189873417721;0.27848101265822783;22.237;:~ value(pc11,V1).[-V1@2, V1] :~ value(pc4,V1).[V1@1, V1] 
29;3;3;3;178;79;23;0;56;0.2911392405063291;0.0;0.7088607594936709;0.2911392405063291;27.533;:~ value(pc1,V1).[-V1@2, V1] :~ value(pc11,V1).[-V1@3, V1] 
29;4;4;3;178;79;24;0;55;0.3037974683544304;0.0;0.6962025316455697;0.3037974683544304;32.607;:~ value(pc7,V1).[-V1@2, V1] :~ value(pc11,V1).[-V1@4, V1] 
29;5;5;3;178;79;23;0;56;0.2911392405063291;0.0;0.7088607594936709;0.2911392405063291;39.573;:~ value(pc1,V1).[-V1@4, V1] :~ value(pc11,V1).[-V1@5, V1] 
32;1;1;3;157;92;44;0;48;0.4782608695652174;0.0;0.5217391304347826;0.4782608695652174;17.611;:~ value(pc4,V1).[V1@1, V1] 
32;2;2;3;157;92;44;0;48;0.4782608695652174;0.0;0.5217391304347826;0.4782608695652174;20.198;:~ value(pc7,V1).[-V1@1, V1] :~ value(pc4,V1).[V1@2, V1] 
32;3;3;3;157;92;44;0;48;0.4782608695652174;0.0;0.5217391304347826;0.4782608695652174;25.532;:~ value(pc4,V1).[V1@3, V1] :~ value(pc7,V1).[-V1@2, V1] 
32;4;4;3;157;92;44;0;48;0.4782608695652174;0.0;0.5217391304347826;0.4782608695652174;30.549;:~ value(pc7,V1).[-V1@3, V1] :~ value(pc4,V1).[V1@4, V1] 
32;5;5;3;157;92;44;0;48;0.4782608695652174;0.0;0.5217391304347826;0.4782608695652174;35.046;:~ value(pc7,V1).[-V1@1, V1] :~ value(pc4,V1).[V1@2, V1] 
36;1;1;3;149;90;50;0;40;0.5555555555555556;0.0;0.4444444444444444;0.5555555555555556;15.144;:~ value(pc11,V1).[-V1@1, V1] 
36;2;2;3;149;90;51;0;39;0.5666666666666667;0.0;0.43333333333333335;0.5666666666666667;20.481;:~ value(pc11,V1).[-V1@2, V1] :~ value(pc3,V1).[V1@1, V1] 
36;3;3;3;149;90;50;0;40;0.5555555555555556;0.0;0.4444444444444444;0.5555555555555556;25.652;:~ value(pc11,V1).[-V1@1, V1] 
36;4;4;3;149;90;50;0;40;0.5555555555555556;0.0;0.4444444444444444;0.5555555555555556;30.283;:~ value(pc11,V1).[-V1@1, V1] 
36;5;5;3;149;90;51;0;39;0.5666666666666667;0.0;0.43333333333333335;0.5666666666666667;37.589;:~ value(pc3,V1).[V1@2, V1] :~ value(pc11,V1).[-V1@5, V1] 
