USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY
40;1;5;3;45;45;0.8666667143503824;0.5714285771052042;0.5366666714350382;6.372;:~ value(pc5,V1).[-V1@5, V1] :~ value(pc14,V1).[V1@4, V1] 
41;1;5;3;45;45;0.8074073791503906;0.5972222487131754;0.48999998966852826;6.881;:~ value(pc17,V1).[-V1@5, V1] :~ value(pc14,V1).[V1@4, V1] 
42;1;5;3;45;45;0.8370370864868164;0.5173454284667969;0.4971988797187805;7.534;:~ value(pc4,V1).[V1@4, V1] :~ value(pc6,V1).[-V1@5, V1] 
43;1;5;3;45;45;0.7925926049550375;0.5833333333333334;0.47777777910232544;5.462;:~ value(pc4,V1).[V1@5, V1] :~ value(pc9,V1).[-V1@1, V1] 
44;1;5;3;45;45;0.8222222328186035;0.5;0.43939393758773804;7.472;:~ value(pc7,V1).[V1@4, V1] :~ value(pc18,V1).[-V1@2, V1] 
45;1;5;3;45;45;0.7777778307596842;0.5462653239568075;0.44299201170603436;4.892;:~ value(pc0,V1).[-V1@1, V1] 
46;1;5;3;45;45;0.7037037213643392;0.5688060919443766;0.6833333174387614;7.056;:~ value(pc1,V1).[-V1@5, V1] 
47;1;5;3;45;45;0.8074073791503906;0.5079365173975626;0.49673203627268475;8.141;:~ value(pc0,V1).[-V1@1, V1] 
48;1;5;3;45;45;0.8370370864868164;0.5173454284667969;0.4971988797187805;7.535;:~ value(pc4,V1).[V1@4, V1] :~ value(pc6,V1).[-V1@5, V1] 
49;1;5;3;45;45;0.7925926049550375;0.5833333333333334;0.47777777910232544;5.442;:~ value(pc4,V1).[V1@5, V1] :~ value(pc9,V1).[-V1@1, V1] 
50;1;5;3;45;45;0.8222222328186035;0.5;0.43939393758773804;7.79;:~ value(pc7,V1).[V1@4, V1] :~ value(pc18,V1).[-V1@2, V1] 
51;1;5;3;45;45;0.7777778307596842;0.5462653239568075;0.44299201170603436;5.004;:~ value(pc0,V1).[-V1@1, V1] 
52;1;5;3;45;45;0.7037037213643392;0.5688060919443766;0.6833333174387614;7.358;:~ value(pc1,V1).[-V1@5, V1] 
