USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;treshold;NUMBER_WC;F1;F2;F3;F4;F5
21;3;5;3;157;53;0.8742138544718424;0.7455066045125326;0.714285691579183;166729;:~ value(farinacei,V1).[-V1@2, V1]:~ value(pesce,V1).[1@3, V1]:~ category(3).[1@5]:~ value(verdure_e_ortaggi,V1), category(3).[V1@1, V1]:~ value(forno,V1), category(1).[1@4, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
22;3;5;3;157;53;0.7358490626017252;0.4997101624806722;0.5031096140543619;235910;:~ value(farinacei,V1).[-V1@1, V1]:~ value(pesce,V1).[V1@4, V1]:~ category(4).[-1@2]:~ value(uova,V1), category(3).[-V1@3, V1]:~ value(verdure_e_ortaggi,V1), category(3).[V1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
23;3;5;3;157;53;0.7610063552856445;0.4282828172047933;0.5239651203155518;479506;:~ value(farinacei,V1).[-V1@1, V1]:~ value(forno,V1).[-V1@2, V1]:~ value(verdure_e_ortaggi,V1), category(3).[-V1@3, V1]:~ value(forno,V1), category(3).[V1@4, V1]:~ value(pasta,V1), category(3).[1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
24;3;5;3;157;53;0.7232704162597656;0.4365942080815633;0.41141144434611004;322597;:~ value(frittura,V1).[V1@1, V1]:~ value(forno,V1).[1@4, V1]:~ value(farinacei,V1).[V1@2, V1]:~ value(stufato,V1), category(3).[1@3, V1]:~ value(forno,V1), category(3).[-V1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
25;3;5;3;157;53;0.7987421353658041;0.5728758176167806;0.5638888676961263;131745;:~ value(farinacei,V1).[-1@1, V1]:~ value(forno,V1).[-V1@3, V1]:~ value(verdure_e_ortaggi,V1), category(1).[1@4, V1]:~ value(verdure_e_ortaggi,V1), category(3).[-V1@2, V1]:~ value(pesce,V1), category(4).[-1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
26;3;5;3;157;53;0.7484277089436849;0.4251852035522461;0.5010141928990682;73322.6;:~ value(verdure_e_ortaggi,V1).[V1@1, V1]:~ value(farinacei,V1).[-V1@2, V1]:~ value(carne,V1).[-1@3, V1]:~ value(stufato,V1), category(1).[-1@5, V1]:~ value(pesce,V1), category(3).[-V1@4, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
27;3;5;3;157;53;0.8616352081298828;0.8632098833719889;0.7239057223002116;4035.08;:~ value(farinacei,V1).[1@5, V1]:~ value(forno,V1).[1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(verdure_e_ortaggi,V1), category(3).[1@4, V1]:~ value(pesce,V1), category(4).[V1@3, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
28;3;5;3;157;53;0.7232704162597656;0.375;0.4018518527348836;205815;:~ value(stufato,V1).[-V1@2, V1]:~ value(farinacei,V1).[V1@1, V1]:~ value(verdure_e_ortaggi,V1), category(3).[1@3, V1]:~ value(verdure_e_ortaggi,V1), category(1).[-V1@5, V1]:~ value(forno,V1), category(3).[-1@4, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
29;3;5;3;157;53;0.8867924213409424;0.7241830031077067;0.8119047482808431;53575.2;:~ value(frittura,V1).[-V1@3, V1]:~ value(uova,V1).[-V1@1, V1]:~ category(4).[1@2]:~ value(verdure_e_ortaggi,V1), category(1).[-1@4, V1]:~ value(stufato,V1), category(3).[-1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
30;3;5;3;157;53;0.7484277089436849;0.3819444477558136;0.4287878672281901;348473;:~ value(forno,V1).[-V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(farinacei,V1).[-V1@4, V1]:~ category(4).[1@1]:~ value(stufato,V1), category(4).[-1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
31;3;5;3;157;53;0.7735849221547445;0.440705140431722;0.5555555820465088;220634;:~ value(forno,V1).[V1@1, V1]:~ value(stufato,V1).[-V1@3, V1]:~ value(uova,V1), category(4).[V1@5, V1]:~ value(verdure_e_ortaggi,V1), category(4).[1@4, V1]:~ value(erbe_spezie_e_condimenti,V1), category(3).[V1@2, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
32;3;5;3;157;53;0.710691769917806;0.4960317611694336;0.5104166666666666;75536.3;:~ value(latticini,V1).[1@2, V1]:~ value(uova,V1).[-V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(verdure_e_ortaggi,V1), category(3).[-V1@4, V1]:~ value(forno,V1), category(3).[V1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
33;3;5;3;157;53;0.8616352081298828;0.46990740299224854;0.5984848340352377;48566.8;:~ value(verdure_e_ortaggi,V1).[V1@2, V1]:~ value(uova,V1).[1@3, V1]:~ value(funghi_e_tartufi,V1).[-1@5, V1]:~ value(uova,V1), category(4).[-1@4, V1]:~ value(erbe_spezie_e_condimenti,V1), category(4).[V1@1, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
34;3;5;3;157;53;0.7232704957326254;0.4909687836964925;0.5028735796610514;140763;:~ value(carne,V1).[-1@4, V1]:~ value(uova,V1).[V1@3, V1]:~ category(3).[1@2]:~ value(farinacei,V1), category(3).[-1@5, V1]:~ value(erbe_spezie_e_condimenti,V1), category(4).[V1@1, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
35;3;5;3;157;53;0.8490565617879232;0.7319624423980713;0.6851851940155029;234817;:~ value(funghi_e_tartufi,V1).[V1@3, V1]:~ value(uova,V1).[-V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ category(4).[-1@4]:~ category(1).[-1@5];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
36;3;5;3;157;53;0.7735849221547445;0.5214285850524902;0.5590909322102865;61593.3;:~ value(pesce,V1).[1@5, V1]:~ value(pasta,V1).[1@2, V1]:~ value(forno,V1).[-V1@1, V1]:~ value(uova,V1), category(3).[V1@4, V1]:~ value(verdure_e_ortaggi,V1), category(4).[V1@3, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
37;3;5;3;157;53;0.8238993485768636;0.5093934535980225;0.5437580347061157;73095.6;:~ value(frittura,V1).[-V1@3, V1]:~ value(funghi_e_tartufi,V1).[-1@4, V1]:~ category(5).[-1@2]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(uova,V1), category(4).[-1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
38;3;5;3;157;53;0.8113207817077637;0.6217532157897949;0.6230158805847168;47169.4;:~ value(carne,V1).[-1@3, V1]:~ value(pasta,V1).[1@1, V1]:~ value(farinacei,V1).[V1@2, V1]:~ value(farinacei,V1), category(3).[-V1@5, V1]:~ value(verdure_e_ortaggi,V1), category(1).[-V1@4, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
39;3;5;3;157;53;0.7735849221547445;0.4208754301071167;0.5071301460266113;236542;:~ value(uova,V1).[-1@3, V1]:~ value(frittura,V1).[1@4, V1]:~ value(farinacei,V1).[-V1@1, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[-1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
40;3;5;3;157;53;0.7987421353658041;0.4743589560190837;0.5385620991388956;212623;:~ value(verdure_e_ortaggi,V1).[V1@3, V1]:~ value(farinacei,V1).[-V1@2, V1]:~ value(forno,V1).[-V1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(forno,V1), category(1).[1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
41;3;5;3;157;53;0.7484277089436849;0.4429012139638265;0.5299145380655924;129203;:~ value(verdure_e_ortaggi,V1).[-V1@2, V1]:~ value(carne,V1).[-V1@4, V1]:~ value(pesce,V1).[-V1@5, V1]:~ value(frittura,V1).[-1@1, V1]:~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@3, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
42;3;5;3;157;53;0.8490566412607828;0.4994949499766032;0.5805555582046509;13143.5;:~ value(verdure_e_ortaggi,V1).[V1@2, V1]:~ value(carne,V1).[-V1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ category(4).[-1@5]:~ value(frittura,V1), category(4).[V1@3, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
43;3;5;3;157;53;0.7987421353658041;0.3602564185857773;0.4698412815729777;41419.2;:~ value(pesce,V1).[V1@5, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(farinacei,V1).[V1@2, V1]:~ value(uova,V1), category(4).[-1@4, V1]:~ value(verdure_e_ortaggi,V1), category(4).[-V1@3, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
44;3;5;3;157;53;0.8364779949188232;0.49568965037663776;0.6021505196889242;61168.7;:~ value(verdure_e_ortaggi,V1).[V1@2, V1]:~ value(carne,V1).[-V1@3, V1]:~ category(3).[-1@4]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(frittura,V1), category(4).[1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
45;3;5;3;157;53;0.7358490626017252;0.40913979212443036;0.43703703085581463;28454.9;:~ value(verdure_e_ortaggi,V1).[-V1@1, V1]:~ value(pesce,V1).[-V1@5, V1]:~ value(funghi_e_tartufi,V1).[-1@4, V1]:~ value(farinacei,V1).[V1@2, V1]:~ category(4).[-1@3];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
46;3;5;3;157;53;0.8238993485768636;0.5962963104248047;0.5783208211263021;7791.93;:~ value(verdure_e_ortaggi,V1).[-V1@2, V1]:~ value(uova,V1).[V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(farinacei,V1), category(1).[-V1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
47;3;5;3;157;53;0.8616352081298828;0.714814821879069;0.7229224840799967;34918.9;:~ value(pesce,V1).[V1@3, V1]:~ value(stufato,V1).[-V1@1, V1]:~ category(3).[-1@2]:~ value(uova,V1), category(1).[1@5, V1]:~ value(erbe_spezie_e_condimenti,V1), category(1).[-V1@4, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
48;3;5;3;157;53;0.7735849221547445;0.5006747643152872;0.5217717488606771;128523;:~ value(pesce,V1).[1@5, V1]:~ value(farinacei,V1).[-1@4, V1]:~ category(5).[1@1]:~ value(stufato,V1), category(4).[-V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@2, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
49;3;5;3;157;53;0.7987421353658041;0.6417624950408936;0.6514749526977539;18038.2;:~ value(verdure_e_ortaggi,V1).[-V1@1, V1]:~ value(forno,V1).[1@3, V1]:~ value(farinacei,V1), category(4).[1@4, V1]:~ value(frittura,V1), category(4).[1@5, V1]:~ value(forno,V1), category(4).[-1@2, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
50;3;5;3;157;53;0.7358490626017252;0.5277777910232544;0.5495223999023438;46807.9;:~ value(farinacei,V1).[-V1@3, V1]:~ value(forno,V1).[-1@4, V1]:~ category(4).[1@2]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(erbe_spezie_e_condimenti,V1).[1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
51;3;5;3;157;53;0.7735849221547445;0.5644444624582926;0.5522875785827637;170108;:~ value(verdure_e_ortaggi,V1).[-1@2, V1]:~ value(frittura,V1).[-V1@3, V1]:~ value(pesce,V1).[V1@4, V1]:~ value(uova,V1).[-1@1, V1]:~ value(uova,V1), category(1).[V1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
52;3;5;3;157;53;0.7735849221547445;0.4227053026358287;0.5092592239379883;381370;:~ value(verdure_e_ortaggi,V1).[1@3, V1]:~ value(farinacei,V1).[-V1@2, V1]:~ category(3).[1@4]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(uova,V1), category(4).[1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
53;3;5;3;157;53;0.7861634890238444;0.7782715956370035;0.591005285580953;60705.2;:~ value(pesce,V1).[-V1@5, V1]:~ value(uova,V1).[V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(stufato,V1).[-1@3, V1]:~ value(frittura,V1), category(4).[-1@4, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
