USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;treshold;NUMBER_WC;F1;F2;F3;F4;F5
15;3;5;3;157;157;0.868365208307902;0.7575510342915853;0.6782717704772949;82970.1;:~ value(uova,V1).[-V1@2, V1]:~ category(3).[1@4]:~ value(frittura,V1).[-V1@1, V1]:~ value(verdure_e_ortaggi,V1), category(4).[-1@3, V1]:~ value(carne,V1), category(3).[-1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
16;3;5;3;157;157;0.8811039924621582;0.7013382911682129;0.6821235815684;20103;:~ value(frittura,V1).[V1@3, V1]:~ value(pesce,V1).[1@4, V1]:~ value(uova,V1).[-V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[1@1, V1]:~ value(stufato,V1), category(1).[-V1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
17;3;5;3;157;157;0.8980892499287924;0.6795726617177328;0.6154452164967855;15396;:~ value(verdure_e_ortaggi,V1).[1@2, V1]:~ value(farinacei,V1).[-1@3, V1]:~ value(pesce,V1).[V1@5, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(verdure_e_ortaggi,V1), category(1).[V1@4, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
18;3;5;3;157;157;0.8641188939412435;0.4675503571828206;0.6021756331125895;40662.4;:~ value(farinacei,V1).[-V1@1, V1]:~ value(pesce,V1).[-V1@3, V1]:~ value(stufato,V1).[-V1@5, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ category(1).[-1@4];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
19;3;5;3;157;157;0.8768577575683594;0.7903852462768555;0.6170286734898885;104684;:~ value(carne,V1).[-V1@4, V1]:~ value(forno,V1).[-1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(verdure_e_ortaggi,V1), category(4).[V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1), category(1).[V1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
20;3;5;3;157;157;0.8768577575683594;0.7483909924825033;0.7063376903533936;48186.7;:~ value(funghi_e_tartufi,V1).[V1@4, V1]:~ value(pesce,V1).[1@2, V1]:~ value(latticini,V1).[-1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(verdure_e_ortaggi,V1), category(1).[V1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
21;3;5;3;157;157;0.859872579574585;0.6829648017883301;0.6896761258443197;166729;:~ value(farinacei,V1).[-V1@2, V1]:~ value(pesce,V1).[1@3, V1]:~ category(3).[1@5]:~ value(verdure_e_ortaggi,V1), category(3).[V1@1, V1]:~ value(forno,V1), category(1).[1@4, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
22;3;5;3;157;157;0.8386411666870117;0.641119122505188;0.6097233692804972;235910;:~ value(farinacei,V1).[-V1@1, V1]:~ value(pesce,V1).[V1@4, V1]:~ category(4).[-1@2]:~ value(uova,V1), category(3).[-V1@3, V1]:~ value(verdure_e_ortaggi,V1), category(3).[V1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
23;3;5;3;157;157;0.8174098332722982;0.6458810170491537;0.672245979309082;479506;:~ value(farinacei,V1).[-V1@1, V1]:~ value(forno,V1).[-V1@2, V1]:~ value(verdure_e_ortaggi,V1), category(3).[-V1@3, V1]:~ value(forno,V1), category(3).[V1@4, V1]:~ value(pasta,V1), category(3).[1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
24;3;5;3;157;157;0.8428874810536703;0.6452391147613525;0.6744444370269775;322597;:~ value(frittura,V1).[V1@1, V1]:~ value(forno,V1).[1@4, V1]:~ value(farinacei,V1).[V1@2, V1]:~ value(stufato,V1), category(3).[1@3, V1]:~ value(forno,V1), category(3).[-V1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
25;3;5;3;157;157;0.8556262652079264;0.6836678187052408;0.6729658444722494;131745;:~ value(farinacei,V1).[-1@1, V1]:~ value(forno,V1).[-V1@3, V1]:~ value(verdure_e_ortaggi,V1), category(1).[1@4, V1]:~ value(verdure_e_ortaggi,V1), category(3).[-V1@2, V1]:~ value(pesce,V1), category(4).[-1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
26;3;5;3;157;157;0.8556263446807861;0.5238095124562582;0.5928092002868652;73322.6;:~ value(verdure_e_ortaggi,V1).[V1@1, V1]:~ value(farinacei,V1).[-V1@2, V1]:~ value(carne,V1).[-1@3, V1]:~ value(stufato,V1), category(1).[-1@5, V1]:~ value(pesce,V1), category(3).[-V1@4, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
27;3;5;3;157;157;0.9193205833435059;0.5787701606750488;0.626111110051473;4035.08;:~ value(farinacei,V1).[1@5, V1]:~ value(forno,V1).[1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(verdure_e_ortaggi,V1), category(3).[1@4, V1]:~ value(pesce,V1), category(4).[V1@3, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
28;3;5;3;157;157;0.8428874810536703;0.5520012776056925;0.6208534638086954;205815;:~ value(stufato,V1).[-V1@2, V1]:~ value(farinacei,V1).[V1@1, V1]:~ value(verdure_e_ortaggi,V1), category(3).[1@3, V1]:~ value(verdure_e_ortaggi,V1), category(1).[-V1@5, V1]:~ value(forno,V1), category(3).[-1@4, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
29;3;5;3;157;157;0.8853503068288168;0.7022525469462076;0.7547477086385092;53575.2;:~ value(frittura,V1).[-V1@3, V1]:~ value(uova,V1).[-V1@1, V1]:~ category(4).[1@2]:~ value(verdure_e_ortaggi,V1), category(1).[-1@4, V1]:~ value(stufato,V1), category(3).[-1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
30;3;5;3;157;157;0.8004245758056641;0.432043194770813;0.550595243771871;348473;:~ value(forno,V1).[-V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ value(farinacei,V1).[-V1@4, V1]:~ category(4).[1@1]:~ value(stufato,V1), category(4).[-1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
31;3;5;3;157;157;0.8343949317932129;0.5295443534851074;0.6511266231536865;220634;:~ value(forno,V1).[V1@1, V1]:~ value(stufato,V1).[-V1@3, V1]:~ value(uova,V1), category(4).[V1@5, V1]:~ value(verdure_e_ortaggi,V1), category(4).[1@4, V1]:~ value(erbe_spezie_e_condimenti,V1), category(3).[V1@2, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
32;3;5;3;157;157;0.8513800303141276;0.6784280141194662;0.6336741050084432;75536.3;:~ value(latticini,V1).[1@2, V1]:~ value(uova,V1).[-V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(verdure_e_ortaggi,V1), category(3).[-V1@4, V1]:~ value(forno,V1), category(3).[V1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
33;3;5;3;157;157;0.8768577575683594;0.6364484628041586;0.6975065867106119;48566.8;:~ value(verdure_e_ortaggi,V1).[V1@2, V1]:~ value(uova,V1).[1@3, V1]:~ value(funghi_e_tartufi,V1).[-1@5, V1]:~ value(uova,V1), category(4).[-1@4, V1]:~ value(erbe_spezie_e_condimenti,V1), category(4).[V1@1, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
34;3;5;3;157;157;0.8259023030598959;0.6112024784088135;0.6112695535024008;140763;:~ value(carne,V1).[-1@4, V1]:~ value(uova,V1).[V1@3, V1]:~ category(3).[1@2]:~ value(farinacei,V1), category(3).[-1@5, V1]:~ value(erbe_spezie_e_condimenti,V1), category(4).[V1@1, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
35;3;5;3;157;157;0.8471337159474691;0.5151515007019043;0.5727891127268473;234817;:~ value(funghi_e_tartufi,V1).[V1@3, V1]:~ value(uova,V1).[-V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ category(4).[-1@4]:~ category(1).[-1@5];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
36;3;5;3;157;157;0.8259023825327555;0.6841948827107748;0.6740078926086426;61593.3;:~ value(pesce,V1).[1@5, V1]:~ value(pasta,V1).[1@2, V1]:~ value(forno,V1).[-V1@1, V1]:~ value(uova,V1), category(3).[V1@4, V1]:~ value(verdure_e_ortaggi,V1), category(4).[V1@3, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
37;3;5;3;157;157;0.8301486174265543;0.5343391497929891;0.5961496035257975;73095.6;:~ value(frittura,V1).[-V1@3, V1]:~ value(funghi_e_tartufi,V1).[-1@4, V1]:~ category(5).[-1@2]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(uova,V1), category(4).[-1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
38;3;5;3;157;157;0.859872579574585;0.7098282178243002;0.7493100961049398;47169.4;:~ value(carne,V1).[-1@3, V1]:~ value(pasta,V1).[1@1, V1]:~ value(farinacei,V1).[V1@2, V1]:~ value(farinacei,V1), category(3).[-V1@5, V1]:~ value(verdure_e_ortaggi,V1), category(1).[-V1@4, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
39;3;5;3;157;157;0.7834394772847494;0.4971895217895508;0.49732104937235516;236542;:~ value(uova,V1).[-1@3, V1]:~ value(frittura,V1).[1@4, V1]:~ value(farinacei,V1).[-V1@1, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[-1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
40;3;5;3;157;157;0.8259023030598959;0.4863779544830322;0.5597825845082601;212623;:~ value(verdure_e_ortaggi,V1).[V1@3, V1]:~ value(farinacei,V1).[-V1@2, V1]:~ value(forno,V1).[-V1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(forno,V1), category(1).[1@5, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
41;3;5;3;157;157;0.8556263446807861;0.6052442391713461;0.6139364639918009;129203;:~ value(verdure_e_ortaggi,V1).[-V1@2, V1]:~ value(carne,V1).[-V1@4, V1]:~ value(pesce,V1).[-V1@5, V1]:~ value(frittura,V1).[-1@1, V1]:~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@3, V1];0.0306;5.0;0.113;0.2147;0.2527;0.4195;0.0
