USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;NUMBER_WC;treshold;F1;F2;F3;F4;F5
10;3;5;3;157;157;0.8726115226745605;0.6943241755167643;0.6164021492004395;49982.2;:~ value(frittura,V1).[-1@3, V1]:~ value(carne,V1).[1@5, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ category(3).[-1@2]:~ value(verdure_e_ortaggi,V1), category(3).[-V1@4, V1];5.0;0.0;0.01;0.08427;0.10064;0.40255;0.40255
11;3;5;3;157;157;0.8259023030598959;0.4851566155751546;0.5053721268971761;53345.7;:~ value(uova,V1).[V1@3, V1]:~ value(stufato,V1).[1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ category(3).[-1@2]:~ value(verdure_e_ortaggi,V1), category(3).[1@5, V1];5.0;0.0;0.07255;0.07255;0.12213;0.24426;0.48851
12;3;5;3;157;157;0.821656068166097;0.5959186553955078;0.588652491569519;27259.6;:~ value(verdure_e_ortaggi,V1).[1@2, V1]:~ value(frittura,V1).[-1@3, V1]:~ value(pasta,V1).[-V1@5, V1]:~ value(stufato,V1).[V1@4, V1]:~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@1, V1];5.0;0.0;0.01;0.01455;0.15083;0.2249;0.59973
13;3;5;3;157;157;0.8386412461598715;0.4945364793141683;0.5453623135884603;18701.5;:~ value(verdure_e_ortaggi,V1).[V1@1, V1]:~ value(erbe_spezie_e_condimenti,V1).[1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(farinacei,V1), category(4).[V1@5, V1]:~ value(verdure_e_ortaggi,V1), category(3).[V1@4, V1];5.0;0.0;0.01;0.03667;0.04;0.32152;0.59182
14;3;5;3;157;157;0.8513800303141276;0.542011022567749;0.5553404887517294;184078;:~ value(verdure_e_ortaggi,V1).[-1@3, V1]:~ value(uova,V1).[-V1@2, V1]:~ value(forno,V1).[1@1, V1]:~ value(farinacei,V1).[-1@4, V1]:~ value(forno,V1), category(1).[-V1@5, V1];5.0;0.0;0.01;0.02;0.2125;0.2525;0.505
15;3;5;3;157;157;0.8683651288350424;0.7590071360270182;0.6782717704772949;82970.1;:~ value(uova,V1).[-V1@2, V1]:~ category(3).[1@4]:~ value(frittura,V1).[-V1@1, V1]:~ value(verdure_e_ortaggi,V1), category(4).[-1@3, V1]:~ value(carne,V1), category(3).[-1@5, V1];5.0;0.0;0.01;0.02;0.04;0.425;0.505
16;3;5;3;157;157;0.8683651288350424;0.6622835795084635;0.6683412392934164;20103;:~ value(frittura,V1).[V1@3, V1]:~ value(pesce,V1).[1@4, V1]:~ value(uova,V1).[-V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[1@1, V1]:~ value(stufato,V1), category(1).[-V1@5, V1];5.0;0.0;0.01;0.02;0.04;0.08;0.85
17;3;5;3;157;157;0.8980892499287924;0.6795726617177328;0.6154452164967855;15396;:~ value(verdure_e_ortaggi,V1).[1@2, V1]:~ value(farinacei,V1).[-1@3, V1]:~ value(pesce,V1).[V1@5, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(verdure_e_ortaggi,V1), category(1).[V1@4, V1];5.0;0.0;0.01;0.01727;0.14625;0.36159;0.4649
18;3;5;3;157;157;0.8641188939412435;0.4675503571828206;0.6021756331125895;40662.4;:~ value(farinacei,V1).[-V1@1, V1]:~ value(pesce,V1).[-V1@3, V1]:~ value(stufato,V1).[-V1@5, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ category(1).[-1@4];5.0;0.0;0.01;0.02357;0.04408;0.42689;0.49546
19;3;5;3;157;157;0.8768577575683594;0.7903852462768555;0.6170286734898885;104684;:~ value(carne,V1).[-V1@4, V1]:~ value(forno,V1).[-1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(verdure_e_ortaggi,V1), category(4).[V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1), category(1).[V1@5, V1];5.0;0.0;0.01;0.032;0.1049;0.18113;0.67197
