USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;NUMBER_WC;treshold;F1;F2;F3;F4;F5
15;3;5;3;157;53;0.9245282808939616;0.7290862401326498;0.7021531263987223;82970.1;:~ value(uova,V1).[-V1@2, V1]:~ category(3).[1@4]:~ value(frittura,V1).[-V1@1, V1]:~ value(verdure_e_ortaggi,V1), category(4).[-1@3, V1]:~ value(carne,V1), category(3).[-1@5, V1];5.0;0.0;0.01;0.02;0.04;0.425;0.505
16;3;5;3;157;53;0.7861635684967041;0.5587944587071737;0.5893227656682333;20103;:~ value(frittura,V1).[V1@3, V1]:~ value(pesce,V1).[1@4, V1]:~ value(uova,V1).[-V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[1@1, V1]:~ value(stufato,V1), category(1).[-V1@5, V1];5.0;0.0;0.01;0.02;0.04;0.08;0.85
17;3;5;3;157;53;0.8364779949188232;0.4985119104385376;0.5188171863555908;15396;:~ value(verdure_e_ortaggi,V1).[1@2, V1]:~ value(farinacei,V1).[-1@3, V1]:~ value(pesce,V1).[V1@5, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(verdure_e_ortaggi,V1), category(1).[V1@4, V1];5.0;0.0;0.01;0.01727;0.14625;0.36159;0.4649
18;3;5;3;157;53;0.7987421353658041;0.40555556615193683;0.4658869504928589;40662.4;:~ value(farinacei,V1).[-V1@1, V1]:~ value(pesce,V1).[-V1@3, V1]:~ value(stufato,V1).[-V1@5, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@2, V1]:~ category(1).[-1@4];5.0;0.0;0.01;0.02357;0.04408;0.42689;0.49546
19;3;5;3;157;53;0.8238994280497233;0.5532455444335938;0.5833333333333334;104684;:~ value(carne,V1).[-V1@4, V1]:~ value(forno,V1).[-1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(verdure_e_ortaggi,V1), category(4).[V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1), category(1).[V1@5, V1];5.0;0.0;0.01;0.032;0.1049;0.18113;0.67197
20;3;5;3;157;53;0.7358490626017252;0.41025638580322266;0.4503268003463745;48186.7;:~ value(funghi_e_tartufi,V1).[V1@4, V1]:~ value(pesce,V1).[1@2, V1]:~ value(latticini,V1).[-1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(verdure_e_ortaggi,V1), category(1).[V1@5, V1];5.0;0.0;0.01;0.02;0.15423;0.19423;0.62154
21;3;5;3;157;53;0.8742138544718424;0.7455066045125326;0.714285691579183;166729;:~ value(farinacei,V1).[-V1@2, V1]:~ value(pesce,V1).[1@3, V1]:~ category(3).[1@5]:~ value(verdure_e_ortaggi,V1), category(3).[V1@1, V1]:~ value(forno,V1), category(1).[1@4, V1];5.0;0.0;0.01;0.02625;0.03;0.43688;0.49688
22;3;5;3;157;53;0.7358490626017252;0.4997101624806722;0.5031096140543619;235910;:~ value(farinacei,V1).[-V1@1, V1]:~ value(pesce,V1).[V1@4, V1]:~ category(4).[-1@2]:~ value(uova,V1), category(3).[-V1@3, V1]:~ value(verdure_e_ortaggi,V1), category(3).[V1@5, V1];5.0;0.0;0.02859;0.02859;0.10986;0.26282;0.57014
23;3;5;3;157;53;0.7610063552856445;0.4282828172047933;0.5239651203155518;479506;:~ value(farinacei,V1).[-V1@1, V1]:~ value(forno,V1).[-V1@2, V1]:~ value(verdure_e_ortaggi,V1), category(3).[-V1@3, V1]:~ value(forno,V1), category(3).[V1@4, V1]:~ value(pasta,V1), category(3).[1@5, V1];5.0;0.0;0.01;0.04557;0.18229;0.38107;0.38107
24;3;5;3;157;53;0.7232704162597656;0.4365942080815633;0.41141144434611004;322597;:~ value(frittura,V1).[V1@1, V1]:~ value(forno,V1).[1@4, V1]:~ value(farinacei,V1).[V1@2, V1]:~ value(stufato,V1), category(3).[1@3, V1]:~ value(forno,V1), category(3).[-V1@5, V1];5.0;0.0;0.01;0.02;0.04;0.08;0.85
