USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACY1;ACCURACY0;ACCURACY-1;PRECISION1;PRECISION0;PRECISION-1;RECALL1;RECALL0,RECALL-1;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME
15;1;5;3;45;1;0.9402985;0.8955224;0.95522386;1.0;0.0;1.0;0.8888889;0;0.9032258;0.9303482373555502;0.6666666666666666;0.5973715583483378;3.281
3;1;5;3;45;1;0.8969072;0.8453608;0.82474226;0.877193;0.0;1.0;0.9433962;0.0;0.60465115;0.8556701342264811;0.6257309913635254;0.5160157680511475;26.794
32;1;5;3;45;1;0.7659575;0.71276593;0.81914896;0.73333335;0.23809524;0.8214286;0.76744187;0.3125;0.6571429;0.7659574349721273;0.5976190567016602;0.5790282487869263;88.252
7;1;5;3;45;1;0.78571427;0.75510204;0.86734694;0.9375;0.13636364;0.8181818;0.6122449;0.375;0.8780488;0.80272110303243;0.6306818326314291;0.6217645804087321;110.335
36;1;5;3;45;1;0.85;0.82;0.83;0.8055556;0.33333334;0.8695652;0.7837838;0.5;0.78431374;0.8333333333333334;0.6694846947987875;0.6893658638000488;121.302
4;1;5;3;45;1;0.79347825;0.8369565;0.8695652;0.8604651;0.071428575;0.8857143;0.74;0.33333334;0.7948718;0.8333333333333334;0.6058693329493204;0.622735063234965;34.302
20;1;5;3;45;1;0.827957;0.827957;0.9139785;0.9677419;0.0625;0.9130435;0.6666667;0.5;0.9130435;0.856630802154541;0.6477618217468262;0.6932367483774821;2.891
29;1;5;3;45;1;0.8888889;0.8181818;0.86868685;0.84782606;0.1875;0.972973;0.90697676;0.375;0.75;0.8585858345031738;0.6694329579671224;0.6773255666097006;6.896
14;1;5;3;45;1;0.8989899;0.7979798;0.83838385;0.93333334;0.05;0.9591837;0.7777778;0.5;0.7704918;0.8451178868611654;0.6475056807200114;0.682756503423055;65.826
11;1;5;3;45;1;0.83838385;0.8080808;0.7878788;0.88235295;0.0;0.8965517;0.8181818;0;0.59090906;0.8114477793375651;0.592968225479126;0.46969695885976154;39.24
